# Time-averaged data for fix FEPout004
# TimeStep v_param v_param004 v_pe c_FEP004[1] c_FEP004[2] c_FEP004[3]
7095000 0.8 0.2 -6143.73 1.37834 1639.13 16546.7
7096000 0.8 0.2 -6121.87 -0.675743 52730.5 16974.4
7097000 0.8 0.2 -6106.58 -0.323711 28787.2 16725.5
7098000 0.8 0.2 -6005.3 -0.697211 53957.4 16755
7099000 0.8 0.2 -5999.05 2.5459 233.981 16742.8
7100000 0.8 0.2 -6059.31 -0.0897312 19378.6 16670.8
7101000 0.8 0.2 -6017.97 -1.60235 245316 16689.4
7102000 0.8 0.2 -6030.11 2.88985 131.7 16780
7103000 0.8 0.2 -6069.04 -0.183749 22585 16594.4
7104000 0.8 0.2 -6054.73 -1.20372 125641 16681.8
7105000 0.8 0.2 -6114.15 1.02444 2971.73 16569.1
7106000 0.8 0.2 -6107.38 1.6807 987.258 16549.8
7107000 0.8 0.2 -6039.83 0.208896 11792.4 16740.9
7108000 0.8 0.2 -6133.66 -0.595674 44901.9 16532
7109000 0.8 0.2 -6125.91 0.959813 3329.6 16657.2
7110000 0.8 0.2 -6103.24 1.42473 1513.04 16509.8
7111000 0.8 0.2 -6049.26 -0.552783 42734.9 16907.9
7112000 0.8 0.2 -6143.61 2.18461 438.516 17117.4
7113000 0.8 0.2 -6149.94 0.665262 5472.06 16702.6
7114000 0.8 0.2 -6100.35 1.41127 1576.65 16819.9
7115000 0.8 0.2 -6129.1 0.530557 6826.69 16623.1
7116000 0.8 0.2 -6060.29 0.323737 9761.48 16801.7
7117000 0.8 0.2 -6046.29 1.02046 3037.21 16821.4
7118000 0.8 0.2 -6103.01 2.34314 325.864 16594.9
7119000 0.8 0.2 -6086.98 1.48574 1393.55 16844.5
7120000 0.8 0.2 -6059.3 -0.0450599 18502.2 17155.3
7121000 0.8 0.2 -6121.61 1.43333 1537.46 17020.1
7122000 0.8 0.2 -6109.44 1.12695 2550.06 16885.4
7123000 0.8 0.2 -6116.98 2.08386 515.035 16978.4
7124000 0.8 0.2 -6068.33 1.83412 776.233 16831.3
7125000 0.8 0.2 -6202.13 2.04432 532.492 16427.3
7126000 0.8 0.2 -6111.6 -0.0425543 18218.1 16963
7127000 0.8 0.2 -6083.98 0.40804 8460.48 16774.3
7128000 0.8 0.2 -6064.66 -0.569866 43360 16670.6
7129000 0.8 0.2 -6045.78 1.26909 1970.74 16563.1
7130000 0.8 0.2 -6083.66 3.85565 25.6901 16540.5
7131000 0.8 0.2 -6097.15 1.9112 670.795 16552.6
7132000 0.8 0.2 -6075.25 2.35703 321.786 16773.7
7133000 0.8 0.2 -6085.97 1.31897 1824.71 16674
7134000 0.8 0.2 -6092.38 -1.48707 202482 16713.9
7135000 0.8 0.2 -6094.2 1.67359 1017.02 16846.8
7136000 0.8 0.2 -6084.49 3.38119 57.6311 16741.8
7137000 0.8 0.2 -6107.15 0.176979 12381.3 16660.7
7138000 0.8 0.2 -6186.03 0.124501 13580.6 16734.6
7139000 0.8 0.2 -6104.21 1.11455 2623.71 17015.6
7140000 0.8 0.2 -6062.09 -0.204166 23868.2 16946.8
7141000 0.8 0.2 -6024.65 -0.691948 53240.4 16678.9
7142000 0.8 0.2 -6157.59 1.61141 1105.21 16494.2
7143000 0.8 0.2 -6123.44 2.40693 293.877 16656.2
7144000 0.8 0.2 -6159.34 1.98971 603.958 17001.2
7145000 0.8 0.2 -6109.31 2.37468 314.454 16884.1
7146000 0.8 0.2 -6138.26 0.543277 6763.71 16824.9
7147000 0.8 0.2 -6127.08 0.737491 4805.43 16557.1
7148000 0.8 0.2 -6145.13 -0.00887453 17119 16866
7149000 0.8 0.2 -6148.48 1.69236 977.092 16702.9
7150000 0.8 0.2 -6203.75 1.39948 1601.49 16750.3
7151000 0.8 0.2 -6152.84 -0.0737946 18980.2 16770.3
7152000 0.8 0.2 -6124.73 0.569613 6382.82 16594.6
7153000 0.8 0.2 -6100.9 1.2318 2102.26 16597.2
7154000 0.8 0.2 -6066.67 0.145081 13086.4 16692
7155000 0.8 0.2 -6126.67 0.865159 3931.71 16781.7
7156000 0.8 0.2 -6145.99 0.260668 10986.4 17011.7
7157000 0.8 0.2 -6077.35 0.00798842 16677.7 16902.7
7158000 0.8 0.2 -6125.81 -0.703131 53889.2 16568.5
7159000 0.8 0.2 -6152.12 1.79376 826.469 16747.5
7160000 0.8 0.2 -6121.2 0.470789 7638.44 16825.4
7161000 0.8 0.2 -6172.23 0.144826 13063.5 16655.7
7162000 0.8 0.2 -6063.24 0.361921 9058.85 16623.7
7163000 0.8 0.2 -6112.05 -0.506971 39357.1 16815.3
7164000 0.8 0.2 -6120.96 2.93887 122.145 16896.5
7165000 0.8 0.2 -6115.76 2.91356 126 16705.4
7166000 0.8 0.2 -6170.52 2.43073 284.522 16782.9
7167000 0.8 0.2 -6175.22 2.96605 117.135 16959.3
7168000 0.8 0.2 -6065.42 1.37068 1694 16882.5
7169000 0.8 0.2 -6095.81 0.683489 5219.33 16425.8
7170000 0.8 0.2 -6075.19 -0.33558 29578.2 16846.4
7171000 0.8 0.2 -6098.94 3.42424 54.571 17039.9
7172000 0.8 0.2 -6064.74 4.80699 5.20205 16519.2
7173000 0.8 0.2 -6078.53 1.26828 2010.43 16873.6
7174000 0.8 0.2 -6055.34 -0.999032 89472.7 16746
7175000 0.8 0.2 -6126.04 1.14477 2436.3 16621.7
7176000 0.8 0.2 -6015.18 -0.155175 22004.9 16962
7177000 0.8 0.2 -6105.09 1.24973 2071.39 16852.7
7178000 0.8 0.2 -6118.98 -1.34438 160849 16867.7
7179000 0.8 0.2 -6131.48 0.694064 5162.54 16537.8
7180000 0.8 0.2 -6151.93 0.133312 13213.4 16524.5
7181000 0.8 0.2 -6116.46 1.93401 658.913 16893.7
7182000 0.8 0.2 -6162.69 0.358372 9200.95 16784.2
7183000 0.8 0.2 -6078.94 -0.757856 59387.6 16657.5
7184000 0.8 0.2 -6065.09 2.08613 505.44 16725.6
7185000 0.8 0.2 -6002.26 -0.504048 39167.5 16816.5
7186000 0.8 0.2 -6100.73 1.77582 842.564 16567.7
7187000 0.8 0.2 -6067.72 -0.0511924 18041.2 16556.6
7188000 0.8 0.2 -6069.06 0.904435 3682.18 16787
7189000 0.8 0.2 -6049.71 -0.684828 52529 16653.8
7190000 0.8 0.2 -6055.09 1.68891 989.452 16816.7
7191000 0.8 0.2 -5995.78 1.12326 2591.59 17054.7
7192000 0.8 0.2 -6084.01 -0.522768 40562.8 16877.1
7193000 0.8 0.2 -6097.96 -0.241766 25018.3 16677.7
7194000 0.8 0.2 -6106.99 0.524911 6928.82 16712.8
7195000 0.8 0.2 -6107.21 0.265363 10538.4 16447.1
7196000 0.8 0.2 -6176.96 -0.597052 45521.5 16721.5
7197000 0.8 0.2 -6117.71 -0.252942 25959.7 16983.8
7198000 0.8 0.2 -6133.63 1.21802 2163.48 16690.3
7199000 0.8 0.2 -6056.84 4.45676 9.59562 16933.7
7200000 0.8 0.2 -6121.85 -0.133438 21135.5 16896.9
7201000 0.8 0.2 -6126.43 0.0772087 14717.2 16752.2
7202000 0.8 0.2 -6111.21 -0.240772 25113.1 16768.8
7203000 0.8 0.2 -6130.14 1.53715 1264.13 16656.4
