# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
7000000 0.8 0.01 295.317 -63.8152 16540.8 -6074.81 -0.0047067 0.00509591
7001000 0.8 0.01 295.678 472.015 16602.5 -6071.14 -0.0205608 0.0209507
7002000 0.8 0.01 310.918 9.18295 16707.4 -6098.31 0.0197316 -0.0193397
7003000 0.8 0.01 308.513 178.307 17020.4 -6068.27 0.02005 -0.0196644
7004000 0.8 0.01 292.991 -340.437 16631.9 -6121.87 0.0247075 -0.0243231
7005000 0.8 0.01 285.028 -272.01 16733 -6094.66 -0.0251662 0.0255519
7006000 0.8 0.01 307.078 1478.57 16723.2 -6058.47 -0.0393009 0.039687
7007000 0.8 0.01 302.825 -303.941 16841.3 -6074.02 -0.0404928 0.0408811
7008000 0.8 0.01 304.138 714.253 16632.5 -6049.26 -0.0040217 0.00441555
7009000 0.8 0.01 297.828 -92.6927 16746.2 -6106.49 -0.0268194 0.0272089
7010000 0.8 0.01 313.201 103.283 16728.1 -6128.1 -0.00616952 0.00655185
7011000 0.8 0.01 306.776 188.1 16674.2 -6156.3 -0.0507462 0.0511208
7012000 0.8 0.01 318.192 -625.683 16602 -6147.25 0.0238556 -0.0234729
7013000 0.8 0.01 298.942 189.488 16586.3 -6123.12 -0.0181903 0.0185864
7014000 0.8 0.01 296.784 871.314 16516.2 -6157.75 -0.00225014 0.00264598
7015000 0.8 0.01 302.799 -305.05 16792.9 -6121.8 -0.024121 0.0245093
7016000 0.8 0.01 286.385 -762.353 16895.2 -6175.6 -0.0204853 0.0208692
7017000 0.8 0.01 301.024 282.55 16930.3 -6140.55 0.0210484 -0.0206561
7018000 0.8 0.01 292.56 -9.37397 16745.2 -6103.59 0.00436984 -0.003977
7019000 0.8 0.01 300.02 -138.792 16909.9 -6104.37 -0.00650252 0.00689456
7020000 0.8 0.01 308.166 211.676 16749.7 -6103.13 0.0482762 -0.0478817
7021000 0.8 0.01 288.986 -596.53 16782.6 -6141.29 0.00722499 -0.00683499
7022000 0.8 0.01 301.601 -279.38 16923.1 -6075.63 0.00899483 -0.00860996
7023000 0.8 0.01 306.942 -361.192 16801.9 -6136.69 0.012726 -0.0123381
7024000 0.8 0.01 304.649 -939.551 16991 -6133.02 0.000140948 0.000238927
7025000 0.8 0.01 299.702 -471.922 17056.8 -6078.53 0.0099158 -0.00952749
7026000 0.8 0.01 291.308 1003.55 16749.1 -6124.87 0.00344368 -0.00306257
7027000 0.8 0.01 300.009 1444.69 16655.1 -6082.84 -0.0115046 0.0118849
7028000 0.8 0.01 299.177 905.584 16668.5 -6093.07 0.00293999 -0.00255888
7029000 0.8 0.01 288.775 98.4858 16922.9 -6099.69 0.0350578 -0.0346747
7030000 0.8 0.01 292.808 -322.365 16780.5 -6207.51 0.0444724 -0.0440886
7031000 0.8 0.01 299.687 -7.61516 17014.7 -6110.59 -0.00122636 0.00161752
7032000 0.8 0.01 310.191 -128.706 17001.6 -6075.58 0.0178304 -0.0174329
7033000 0.8 0.01 290.946 -799.548 16922.5 -6110.38 0.00716075 -0.00676898
7034000 0.8 0.01 297.022 277.685 16642.4 -6136.85 0.0274021 -0.027013
7035000 0.8 0.01 297.324 443.04 16669.6 -6156.9 -0.0120564 0.0124449
7036000 0.8 0.01 297.168 163.943 16460.2 -6128.25 -0.0107674 0.0111543
7037000 0.8 0.01 308.447 717.994 16380.3 -6083.68 0.00118344 -0.000795396
7038000 0.8 0.01 296.259 -1062.72 16914.5 -6067.71 0.03617 -0.0357827
7039000 0.8 0.01 307.264 -1.8668 16854.8 -6156.28 -0.00202504 0.0024055
7040000 0.8 0.01 309.19 -238.667 16887.6 -6097.7 -0.0142604 0.0146394
7041000 0.8 0.01 289.129 843.955 16573.4 -6083.38 -0.0295436 0.029939
7042000 0.8 0.01 286.171 -97.0554 17173.7 -6058.37 -0.0179958 0.0183811
7043000 0.8 0.01 298.953 228.52 16654.9 -6184.07 0.0126258 -0.0122252
7044000 0.8 0.01 313.617 -1173.98 16771.7 -6081.46 0.00663579 -0.00624915
7045000 0.8 0.01 303.409 -35.9827 16821.6 -6114.08 0.0158494 -0.0154625
7046000 0.8 0.01 296.274 482.705 16772 -6153.21 -0.0025755 0.00296546
7047000 0.8 0.01 290.774 -561.202 16985.4 -6090.43 -0.0256979 0.026084
7048000 0.8 0.01 309.822 482.266 16789.2 -6092.92 -0.0403932 0.0407762
7049000 0.8 0.01 295.016 264.691 16877.2 -6063.09 0.00410206 -0.00371404
7050000 0.8 0.01 291.701 117.177 16631.9 -6123.48 -0.00501288 0.00540069
7051000 0.8 0.01 314.275 453.193 16843.3 -6057.33 -0.0165584 0.0169446
7052000 0.8 0.01 307.487 -352.143 16840.6 -6066.5 -0.00717603 0.00756174
7053000 0.8 0.01 295.685 -719.488 16946.7 -6090.79 -0.0420577 0.0424407
7054000 0.8 0.01 298.78 -45.3917 16807.9 -6158.25 -0.0207848 0.0211687
7055000 0.8 0.01 286.525 17.7345 16844.9 -6185.42 -0.0191584 0.0195477
7056000 0.8 0.01 289.327 -354.004 16829.9 -6103.83 0.012241 -0.0118528
7057000 0.8 0.01 301.772 -64.7839 16642.4 -6171.32 0.00486317 -0.00448215
7058000 0.8 0.01 281.974 90.2236 16557.1 -6113.1 0.0388901 -0.0385031
7059000 0.8 0.01 307.406 99.7154 16582.7 -6092.92 -0.0106211 0.0110072
7060000 0.8 0.01 299.43 -100.752 16796.6 -6154.25 -0.0073943 0.00778304
7061000 0.8 0.01 293.797 638.32 16766.2 -6073.16 -0.0266418 0.0270321
7062000 0.8 0.01 303.3 146.223 17016.3 -6107.21 -0.00566577 0.00604957
7063000 0.8 0.01 309.675 -433.862 16805.5 -6108.92 0.00508108 -0.00469949
7064000 0.8 0.01 289.96 210.757 16967.8 -6051.32 0.00992971 -0.0095441
7065000 0.8 0.01 295.822 -1396.93 17210.7 -6098.12 -0.0137168 0.0141003
7066000 0.8 0.01 295.4 516.103 16636 -6110.8 0.0210787 -0.0206968
7067000 0.8 0.01 302.036 -313.863 16695.4 -6059.87 0.0333864 -0.033006
7068000 0.8 0.01 303.691 -203.975 16546.3 -6081.29 -0.0130573 0.0134438
7069000 0.8 0.01 303.578 -262.945 16534.7 -6051.27 0.0204245 -0.0200487
7070000 0.8 0.01 291.615 649.523 16215.5 -6092.49 -0.00172864 0.00211303
7071000 0.8 0.01 278.343 378.558 16525.1 -6076.42 0.00757699 -0.00719504
7072000 0.8 0.01 296.788 -651.908 16708.4 -6163.79 -0.0285121 0.0288972
7073000 0.8 0.01 309.481 787.45 16375.6 -6141.41 -0.0143863 0.0147704
7074000 0.8 0.01 295.482 333.665 16480.7 -6165.24 0.0330421 -0.0326576
7075000 0.8 0.01 286.577 -327.88 16701.1 -6099.9 0.0337699 -0.0333798
7076000 0.8 0.01 286.81 -886.974 16704.5 -6111.91 -0.0173452 0.0177244
7077000 0.8 0.01 291.723 -383.333 16859.4 -6129.23 -0.0211855 0.0215661
7078000 0.8 0.01 298.777 -543.084 16630.1 -6072.62 0.00434373 -0.00396547
7079000 0.8 0.01 285.806 -560.555 16914.5 -6034.81 0.00544014 -0.00505858
7080000 0.8 0.01 309.859 538.646 16763 -6078.26 -0.0177769 0.0181614
7081000 0.8 0.01 293.205 414.119 16437.1 -6157.02 0.0319704 -0.0315867
7082000 0.8 0.01 295.896 -506.943 16572.4 -6074.35 -0.0135156 0.0138927
7083000 0.8 0.01 290.101 787.346 16277.9 -6131.29 -0.000253063 0.000630682
7084000 0.8 0.01 292.634 879.377 16355 -6193.83 -0.00719252 0.00757668
7085000 0.8 0.01 292.83 157.059 16480.5 -6082.85 0.0103215 -0.00992989
7086000 0.8 0.01 286.31 35.842 16580.6 -6054.42 -0.00154051 0.00193545
7087000 0.8 0.01 303.665 566.449 16451.9 -6139.95 -0.0139977 0.0143876
7088000 0.8 0.01 283.683 -604.587 16360.7 -6133.42 -0.0265076 0.0268956
7089000 0.8 0.01 300.23 -982.375 16597.1 -6075.37 -0.0140274 0.0144164
7090000 0.8 0.01 293.008 -815.941 16633.6 -6100.67 -0.0122121 0.0126038
7091000 0.8 0.01 300.155 -538.037 17077.4 -6069.4 0.0203446 -0.0199522
7092000 0.8 0.01 311.943 1081.01 16723.9 -6097.48 -0.0255372 0.0259352
7093000 0.8 0.01 293.834 -226.243 16880.9 -6078.15 -0.0171329 0.0175254
7094000 0.8 0.01 295.022 117.717 16524.8 -6114.12 -0.0175255 0.017906
7095000 0.8 0.01 299.317 699.621 16546.7 -6143.73 0.0116976 -0.0113154
7096000 0.8 0.01 302.209 -661.733 16974.4 -6121.87 -0.022482 0.0228623
7097000 0.8 0.01 296.469 -383.584 16725.5 -6106.58 -0.0168107 0.0171977
7098000 0.8 0.01 323.336 -138.381 16755 -6005.3 -0.022931 0.0233144
7099000 0.8 0.01 299.952 527.976 16742.8 -5999.05 0.0310807 -0.0306959
7100000 0.8 0.01 297.4 1139.02 16670.8 -6059.31 -0.013059 0.013451
7101000 0.8 0.01 292.992 1454.73 16689.4 -6017.97 -0.0380949 0.038481
7102000 0.8 0.01 314.048 66.7414 16780 -6030.11 0.0368071 -0.0364221
7103000 0.8 0.01 303.278 916.802 16594.4 -6069.04 -0.0145167 0.014905
