# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
75000 0 0.01 291.297 -694.602 16761.7 -6139.4 0.00757044 -0.00718446
76000 0 0.01 306.828 106.612 16988 -6113.55 -0.00719633 0.00758703
77000 0 0.01 303.887 -194.615 16898.1 -6086.15 -0.0192976 0.019687
78000 0 0.01 302.24 -308.434 16645.6 -6077.29 -0.0034949 0.00387758
79000 0 0.01 298.203 -385.646 16724.2 -6158.73 0.00436796 -0.00398349
80000 0 0.01 303.301 667.954 16800.5 -6110.08 0.0098377 -0.00944719
81000 0 0.01 301.387 533.745 16672 -6089.64 0.00372098 -0.00333003
82000 0 0.01 305.273 89.3386 16622.4 -6129.74 -0.00704491 0.00743084
83000 0 0.01 307.495 392.25 16457.1 -6134.03 0.00548986 -0.00510762
84000 0 0.01 295.159 -544.247 16923.7 -6067.41 0.0158995 -0.0155098
85000 0 0.01 308.472 -137.191 16925.5 -6073.52 0.00454996 -0.00416785
86000 0 0.01 298.383 -1095.06 17153.6 -6078.82 -0.0161588 0.0165455
87000 0 0.01 296.089 124.837 16683.2 -6042.51 -0.000240721 0.000626025
88000 0 0.01 304.075 -1078.12 16690.4 -6065.7 -0.0047279 0.00510904
89000 0 0.01 297.754 -425.274 16865.2 -6056.3 -0.00776488 0.00814884
90000 0 0.01 284.671 79.5626 16698.6 -6023.94 -0.00849645 0.00888822
91000 0 0.01 298.811 -171.869 16828.3 -6152.3 -0.00880055 0.00918513
92000 0 0.01 291.42 -833.183 17001.9 -6053.24 -0.00219523 0.00257691
93000 0 0.01 300.816 432.554 17010.5 -6074.22 -0.0214864 0.0218693
94000 0 0.01 304.791 -663.422 17075.5 -6098.02 -0.0135804 0.0139722
95000 0 0.01 294.963 -149.829 17130.8 -6114.09 0.034524 -0.0341311
96000 0 0.01 296.553 -250.953 16869.3 -6098.48 -0.0207714 0.0211571
97000 0 0.01 291.471 -385.098 16803.6 -6123.87 0.00160713 -0.00122479
98000 0 0.01 293.582 -415.756 16840.7 -6134.57 -0.00219212 0.00257775
99000 0 0.01 295.632 296.327 16596.2 -6082.37 0.0008624 -0.000474612
100000 0 0.01 301.284 244.442 16654.6 -6063.35 -0.0370632 0.0374519
101000 0 0.01 299.938 196.455 16522.2 -6074.54 -0.0189455 0.0193266
102000 0 0.01 295.977 529.829 16296.5 -6085.34 0.00718797 -0.0068078
103000 0 0.01 304.214 -180.303 16682.8 -6122.89 -0.000900185 0.00128901
104000 0 0.01 309.136 417.574 16578.6 -6070.73 -0.00955234 0.00994445
105000 0 0.01 304.293 -685.145 17033.7 -6102.61 0.000723253 -0.000329407
106000 0 0.01 303.801 162.313 16771.9 -6088.78 0.00674925 -0.00635847
107000 0 0.01 299.309 580.717 16622.1 -6124.39 -0.0120802 0.0124645
108000 0 0.01 297.311 225.515 16861.3 -6104.21 -0.00243153 0.00280688
109000 0 0.01 292.415 -187.289 16856.5 -6070.86 -0.0161176 0.0164997
