# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
21070000 0.4 0.01 298.404 315.539 16483.4 -6072.17 0.0229657 -0.0225849
21071000 0.4 0.01 299.832 1023.32 16307.2 -6131.89 -0.00553735 0.00591879
21072000 0.4 0.01 307.152 -305.765 16853.2 -6129.7 -0.012906 0.0132902
21073000 0.4 0.01 299.34 -449.285 16697.3 -6154.57 0.0287978 -0.0284154
21074000 0.4 0.01 291.76 -103.83 16712.5 -6096.68 -0.0295965 0.029979
21075000 0.4 0.01 278.955 -580.842 16758 -6045.55 0.0196936 -0.0193068
21076000 0.4 0.01 313.679 -321.568 16895.8 -6055.82 0.0293541 -0.0289676
21077000 0.4 0.01 309.845 731.99 16752.4 -6024.83 -0.00932611 0.00970638
21078000 0.4 0.01 314.358 505.587 16804.8 -6097.1 0.00942198 -0.00903226
21079000 0.4 0.01 304.767 -471.897 17100.6 -6092.22 -0.00512308 0.0055069
21080000 0.4 0.01 302.557 564.161 16883 -6118.66 -0.0167417 0.017123
21081000 0.4 0.01 303.277 -1381.3 16879.5 -6095.2 -0.00686171 0.00725074
21082000 0.4 0.01 304.994 -240.046 16786.5 -6130.76 -0.0169363 0.0173212
21083000 0.4 0.01 303.657 348.891 16636.2 -6065.34 -0.0132758 0.0136615
21084000 0.4 0.01 315.816 1718.08 16699.3 -6064.72 -0.0218992 0.0222853
21085000 0.4 0.01 299.732 -889.955 16693 -6084.42 -0.0201644 0.0205523
21086000 0.4 0.01 302.446 -440.628 16764.1 -6084.28 -0.0124398 0.0128309
21087000 0.4 0.01 303.048 87.8849 16708.2 -6192.01 -0.00450721 0.00489253
21088000 0.4 0.01 305.294 97.517 16577.4 -6078.51 -0.0239297 0.0243172
21089000 0.4 0.01 288.496 -1257.24 16949.5 -6032.91 -0.0193745 0.0197627
21090000 0.4 0.01 303.547 38.0645 16872.9 -6074.11 0.00230849 -0.00191709
21091000 0.4 0.01 304.4 47.5153 16992.9 -6066.65 0.0316525 -0.031267
21092000 0.4 0.01 289.159 638.027 16425.5 -6097.17 0.00759601 -0.00721512
21093000 0.4 0.01 294.1 1045.9 16599.1 -6070.08 -0.00733112 0.00771709
21094000 0.4 0.01 298.776 418.993 16457.3 -6153.86 -0.00687838 0.00726986
21095000 0.4 0.01 299.086 -123.542 16806.8 -6163.47 -0.00712109 0.00750771
21096000 0.4 0.01 301.29 -568.816 16628.3 -6147.99 0.00382526 -0.00343972
21097000 0.4 0.01 316.853 -379.02 16874.2 -6002.72 -0.0244621 0.0248471
21098000 0.4 0.01 291.73 -81.0097 16570.7 -6146.67 0.00633201 -0.00595268
21099000 0.4 0.01 297.759 -351.701 16961.7 -6070.46 -0.0224577 0.0228422
21100000 0.4 0.01 305.32 -102.869 17027.8 -6088.6 -0.00937853 0.00976719
21101000 0.4 0.01 283.5 -994.461 16852 -6075.28 -0.0229692 0.0233573
21102000 0.4 0.01 313.152 -176.251 16919.6 -6064.84 -0.0195396 0.0199289
