# Time-averaged data for fix FEPout003
# TimeStep v_param v_param003 v_pe c_FEP003[1] c_FEP003[2] c_FEP003[3]
14000000 0.6 0.4 -6114.21 -0.403718 33007.2 16769
14001000 0.6 0.4 -6156.64 0.0431955 15481.7 16645
14002000 0.6 0.4 -6159.76 -0.212852 24146.5 16896.5
14003000 0.6 0.4 -6096.49 -0.476045 36782.5 16552
14004000 0.6 0.4 -6165.15 0.0617765 14984.1 16620.1
14005000 0.6 0.4 -6079.95 0.963899 3302.42 16634.8
14006000 0.6 0.4 -6172.13 -0.154912 21689.1 16726
14007000 0.6 0.4 -6135.72 0.246109 11167.7 16875.3
14008000 0.6 0.4 -6088.01 -0.294513 27225.7 16612.4
14009000 0.6 0.4 -6081.39 0.516433 7071.05 16815
14010000 0.6 0.4 -6076.79 -0.0757216 18938.3 16679.4
14011000 0.6 0.4 -6037.37 0.751594 4678.54 16505.7
14012000 0.6 0.4 -6044.09 -0.0833468 19092.7 16601.6
14013000 0.6 0.4 -6121 0.236864 11304.6 16819.2
14014000 0.6 0.4 -6095.12 -0.0593206 18650.8 16884.3
14015000 0.6 0.4 -6113.18 -0.646568 49772.9 16825.9
14016000 0.6 0.4 -6075.89 -0.0728536 18992.6 16807.9
14017000 0.6 0.4 -6120.92 -0.0855364 18987.9 16449.9
14018000 0.6 0.4 -6046.17 -0.25989 25768.5 16663.4
14019000 0.6 0.4 -6061.3 -0.0606846 18395.5 16615.2
14020000 0.6 0.4 -6039.89 -0.0886885 18925.5 16309.4
14021000 0.6 0.4 -6078.9 -0.337136 29505.6 16761.2
14022000 0.6 0.4 -6110.86 0.416658 8341.1 16778.5
14023000 0.6 0.4 -6087 0.865704 3869.18 16529.9
14024000 0.6 0.4 -6025.7 -0.0593231 18506.9 16754
14025000 0.6 0.4 -6095.59 0.0806526 14189.4 16245
14026000 0.6 0.4 -6088.61 0.0441811 15410.4 16595.8
14027000 0.6 0.4 -6067.7 -0.510988 39454.1 16743.5
14028000 0.6 0.4 -6163.01 -0.209078 23319.3 16421.2
14029000 0.6 0.4 -6127.08 0.225372 11282.5 16465.9
14030000 0.6 0.4 -6070.72 -0.182805 22294.3 16406.8
14031000 0.6 0.4 -6094.72 0.286963 10088.7 16326.1
14032000 0.6 0.4 -6073.02 -0.155276 21406.2 16497.7
14033000 0.6 0.4 -6095.86 0.113396 13613.7 16465.8
14034000 0.6 0.4 -6092.59 1.23048 2103.76 16572.2
14035000 0.6 0.4 -6051.01 -0.357061 30875 16962.7
14036000 0.6 0.4 -6107.18 0.0169931 16536.4 17014.5
14037000 0.6 0.4 -6105.53 0.0474323 15635.3 16930.1
14038000 0.6 0.4 -6101.61 -0.116001 20441.3 16826.9
14039000 0.6 0.4 -6138.95 -0.27204 26071.5 16519.2
14040000 0.6 0.4 -6127.72 -0.308076 28252.4 16851
14041000 0.6 0.4 -6117.86 -0.234607 24798.5 16730.8
14042000 0.6 0.4 -6079.81 -0.301824 27950.6 16846.8
14043000 0.6 0.4 -6102.48 -0.373957 31564 16856.6
14044000 0.6 0.4 -6090.05 -0.0375035 18067.2 16965.7
14045000 0.6 0.4 -6098.13 0.222714 11727 17038.5
14046000 0.6 0.4 -6073.94 -0.260912 26441 17069
14047000 0.6 0.4 -6091.19 0.0935558 14438.3 16891.5
14048000 0.6 0.4 -6122.53 0.201184 11896 16671
14049000 0.6 0.4 -6095.94 -0.228248 24095.2 16430.7
14050000 0.6 0.4 -6089.54 -0.460008 35729.9 16516.7
14051000 0.6 0.4 -6031.79 0.643185 5725.85 16841.8
14052000 0.6 0.4 -6043.44 0.0743614 15127 17136.6
14053000 0.6 0.4 -6053.94 0.0391265 15783.1 16853.7
14054000 0.6 0.4 -6111.48 -0.308706 28163.4 16780.2
14055000 0.6 0.4 -6143.47 0.485232 7450.68 16814.3
14056000 0.6 0.4 -6054.16 -0.361248 31157.8 16998.2
14057000 0.6 0.4 -6093.41 0.456684 7730.18 16629.4
14058000 0.6 0.4 -6152.28 -0.0106549 16642.1 16347.3
14059000 0.6 0.4 -6109.76 -0.195974 22847.2 16446.3
14060000 0.6 0.4 -6078.9 -0.0593946 18628.9 16862.4
14061000 0.6 0.4 -6025.6 -0.251237 25578.4 16782.3
14062000 0.6 0.4 -6128.95 -0.48693 37336.6 16497.4
14063000 0.6 0.4 -6175.95 -0.407914 32630.6 16461.4
14064000 0.6 0.4 -6034.25 0.13223 13249.4 16539.5
14065000 0.6 0.4 -6081.13 0.744044 4808.28 16750
14066000 0.6 0.4 -5994 0.14341 13351.5 16982.5
14067000 0.6 0.4 -6109.52 -0.206323 23623 16712.1
14068000 0.6 0.4 -6129.74 -0.509358 39152.3 16660.9
14069000 0.6 0.4 -6124.35 0.000156452 16667.2 16671.6
14070000 0.6 0.4 -6170.3 -0.0530863 18325.3 16764
14071000 0.6 0.4 -6109.1 -0.0426765 18023.8 16778.7
14072000 0.6 0.4 -6121.3 -0.394199 32625.7 16842
14073000 0.6 0.4 -6108.55 -0.531136 40882.3 16773
14074000 0.6 0.4 -6145.14 0.0589181 15511.7 17123
14075000 0.6 0.4 -6155.55 -0.426445 34287.2 16767.7
14076000 0.6 0.4 -6069.56 -0.0112364 17197.1 16876
14077000 0.6 0.4 -6086.29 0.499229 7201.43 16637.9
14078000 0.6 0.4 -6075.38 -0.338097 29012.7 16454.7
14079000 0.6 0.4 -6051.55 -0.299041 27945.8 16922.7
14080000 0.6 0.4 -6058.01 -0.49453 38996.9 17012.7
14081000 0.6 0.4 -5987.94 -0.270264 26149 16617.8
14082000 0.6 0.4 -6049.09 -0.119549 20556.4 16821.2
14083000 0.6 0.4 -6143.48 -0.205748 23242.3 16458.7
14084000 0.6 0.4 -6083.71 0.734775 4845.64 16619.7
14085000 0.6 0.4 -6154.33 -0.131549 20521.2 16457.8
14086000 0.6 0.4 -6139.25 -0.118376 20223.8 16581.6
14087000 0.6 0.4 -6091.95 -0.0930776 19956.1 17071.4
14088000 0.6 0.4 -6111.79 0.229445 11477 16864.6
14089000 0.6 0.4 -6109.07 0.321777 9795.95 16805.7
14090000 0.6 0.4 -6147.85 -0.391143 32374.9 16798.4
14091000 0.6 0.4 -6092.86 -0.292048 27708.8 16977.1
14092000 0.6 0.4 -6072.55 -0.325116 29404.8 17044.2
14093000 0.6 0.4 -6150.98 0.564255 6512.71 16780.8
14094000 0.6 0.4 -6141.2 -0.270234 26440.9 16804.1
14095000 0.6 0.4 -6095.13 -0.247729 25422.3 16778.3
14096000 0.6 0.4 -6061.48 -0.0919419 19451.5 16671.5
14097000 0.6 0.4 -6047.14 -0.278674 26287.5 16471.8
14098000 0.6 0.4 -6043.1 0.0162588 16495.7 16951.8
14099000 0.6 0.4 -6068.1 -0.46464 37017.8 16979.6
14100000 0.6 0.4 -6097.05 -0.343304 29714 16705.9
14101000 0.6 0.4 -6130.64 -0.111055 19803.3 16437.5
14102000 0.6 0.4 -6097.4 0.254829 10880 16682.7
14103000 0.6 0.4 -6153.02 -0.252154 25549 16737.2
14104000 0.6 0.4 -6092 -0.183877 22804.7 16752.2
14105000 0.6 0.4 -6091.63 0.084711 14525.5 16743.3
14106000 0.6 0.4 -6141.13 0.310898 9801.12 16510.5
14107000 0.6 0.4 -6133.47 -0.253477 25609 16739.3
14108000 0.6 0.4 -6100.8 -0.30733 27933.9 16681.9
14109000 0.6 0.4 -6066.5 -0.141036 21421.5 16908.6
14110000 0.6 0.4 -6054.27 -0.0972618 19333.4 16423.1
14111000 0.6 0.4 -6081.84 -0.0687226 18409.1 16404.8
14112000 0.6 0.4 -6106.16 -0.441068 34587 16504.5
14113000 0.6 0.4 -6161.76 -0.189394 22907.2 16672.5
14114000 0.6 0.4 -6109.17 0.273523 10649.2 16849
14115000 0.6 0.4 -6115.12 -0.192689 23278.4 16849.3
14116000 0.6 0.4 -6156.68 -0.20637 23618.8 16707.8
14117000 0.6 0.4 -6044.18 -0.129832 21147.9 17009.3
14118000 0.6 0.4 -6158.26 0.00113932 16544.9 16576.6
14119000 0.6 0.4 -6128.16 -0.132447 20880.6 16720.8
14120000 0.6 0.4 -6111.22 0.497944 7225.95 16658.6
14121000 0.6 0.4 -6113.53 0.61781 5832.36 16440.3
14122000 0.6 0.4 -6065.02 0.301629 10306.7 17094.3
14123000 0.6 0.4 -6069.97 0.044225 15791.8 17007.9
14124000 0.6 0.4 -6114.03 0.5144 7003.14 16596.8
14125000 0.6 0.4 -6044.82 -0.174022 22487.4 16794.5
14126000 0.6 0.4 -6093.96 0.52133 7027.59 16849.5
14127000 0.6 0.4 -6106.9 -0.332949 29012.5 16597.3
14128000 0.6 0.4 -6042.79 -0.606702 45811 16557.6
14129000 0.6 0.4 -6094.78 -0.287863 27289.4 16838
14130000 0.6 0.4 -6095.31 -0.639546 49047.7 16777.2
14131000 0.6 0.4 -6094.4 -0.259112 25955.6 16806.3
14132000 0.6 0.4 -6118.13 -0.244042 24847.6 16500.7
14133000 0.6 0.4 -6068.8 -0.355636 30189.1 16625.5
14134000 0.6 0.4 -6058.6 0.0346231 15944 16897.4
14135000 0.6 0.4 -6155.35 -1.01501 91778 16723.3
14136000 0.6 0.4 -6098.37 0.6048 6147.2 16953.7
14137000 0.6 0.4 -6186.08 0.20771 11691.1 16564.1
14138000 0.6 0.4 -6126.84 -0.12446 20631.3 16744
14139000 0.6 0.4 -6064.86 -0.450068 35632.8 16748.7
14140000 0.6 0.4 -6185.34 -0.156469 22099 16997.6
14141000 0.6 0.4 -6150.13 0.612737 6084.28 17005.1
14142000 0.6 0.4 -6093.27 0.631641 5826.4 16808.9
14143000 0.6 0.4 -6111.8 -0.142682 21250.8 16727.6
