# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
35075000 1 0.01 341.282 153.548 16596.4 15.1669 -0.0386105 0.0389985
35076000 1 0.01 333.029 -157.22 16596.4 12.8378 -0.0384994 0.0388863
35077000 1 0.01 356.875 -221.943 16596.4 15.0079 -0.0379656 0.0383472
35078000 1 0.01 499.323 180.008 16596.4 10.0281 -0.0382927 0.0386776
35079000 1 0.01 236.706 232.023 16596.4 17.0876 -0.0385243 0.0389115
35080000 1 0.01 356.042 -101.876 16596.4 16.127 -0.0382169 0.038601
35081000 1 0.01 225.264 -217.463 16596.4 12.7529 -0.0383015 0.0386864
35082000 1 0.01 394.743 -11.0676 16596.4 16.6603 -0.0389466 0.039338
35083000 1 0.01 300.769 286.711 16596.4 13.7799 -0.0385137 0.0389008
35084000 1 0.01 364.485 33.4804 16596.4 10.9766 -0.0379157 0.0382968
35085000 1 0.01 358.287 -203.267 16596.4 19.5266 -0.0387616 0.0391512
35086000 1 0.01 268.906 -259.089 16596.4 18.4099 -0.0376519 0.0380303
35087000 1 0.01 321.785 337.29 16596.4 14.3877 -0.0391371 0.0395304
35088000 1 0.01 250.038 75.9009 16596.4 20.4679 -0.0380788 0.0384615
35089000 1 0.01 261.957 -173.962 16596.4 13.0244 -0.0382508 0.0386352
35090000 1 0.01 327.912 -89.4226 16596.4 17.3756 -0.0386642 0.0390528
35091000 1 0.01 285.021 94.552 16596.4 14.4326 -0.0378982 0.0382791
35092000 1 0.01 242.289 214.671 16596.4 15.3441 -0.0391113 0.0395044
35093000 1 0.01 432.005 -248.318 16596.4 15.157 -0.0377249 0.038104
35094000 1 0.01 271.116 -113.865 16596.4 14.2797 -0.0383887 0.0387745
35095000 1 0.01 442.028 182.139 16596.4 17.1496 -0.0391886 0.0395825
35096000 1 0.01 265.705 122.831 16596.4 14.7284 -0.0382247 0.0386088
35097000 1 0.01 287.421 21.9929 16596.4 16.4041 -0.038845 0.0392354
35098000 1 0.01 317.18 -215.041 16596.4 14.4505 -0.0379339 0.0383152
35099000 1 0.01 274.65 3.21876 16596.4 16.0648 -0.0384146 0.0388006
35100000 1 0.01 313.373 268.054 16596.4 18.4783 -0.0387865 0.0391763
35101000 1 0.01 281.143 -99.324 16596.4 14.9493 -0.0378242 0.0382043
35102000 1 0.01 204.441 -79.1219 16596.4 14.6279 -0.0388699 0.0392605
35103000 1 0.01 292.531 -166.555 16596.4 18.4062 -0.0374997 0.0378766
35104000 1 0.01 154.813 275.252 16596.4 13.7335 -0.0392841 0.0396789
35105000 1 0.01 287.551 -108.237 16596.4 14.4605 -0.0376962 0.038075
35106000 1 0.01 221.032 -317.419 16596.4 22.1613 -0.0378625 0.038243
35107000 1 0.01 350.279 79.5798 16596.4 17.7302 -0.0390868 0.0394797
35108000 1 0.01 318.038 133.23 16596.4 13.733 -0.0379595 0.038341
35109000 1 0.01 226.187 21.424 16596.4 11.8893 -0.0384717 0.0388583
35110000 1 0.01 331.924 -213.914 16596.4 15.2831 -0.038296 0.0386809
35111000 1 0.01 223.565 8.99501 16596.4 10.4293 -0.0382642 0.0386487
35112000 1 0.01 375.576 187.832 16596.4 11.7581 -0.0382539 0.0386384
35113000 1 0.01 530.204 -43.1291 16596.4 19.68 -0.0383781 0.0387638
35114000 1 0.01 293.748 -110.787 16596.4 15.7751 -0.0388705 0.0392612
