# Time-averaged data for fix FEPout003
# TimeStep v_param v_param003 v_param2 v_pe c_FEP003[1] c_FEP003[2] c_FEP003[3]
0 1 0.85 0 -6049.71 5.20758 2.71819 16901.1
1000 1 0.85 0 -6120.54 5.41304 1.90142 16687.6
2000 1 0.85 0 -6113.07 4.78305 5.4648 16670.6
3000 1 0.85 0 -6078.22 5.21277 2.70551 16969.5
4000 1 0.85 0 -6051.19 5.19728 2.74283 16762.4
5000 1 0.85 0 -6080.9 5.33992 2.1799 16923.3
6000 1 0.85 0 -6020.09 5.70106 1.18252 16824.5
7000 1 0.85 0 -6012.69 4.98117 3.9783 16920
8000 1 0.85 0 -6028.28 5.49625 1.67324 16884.5
9000 1 0.85 0 -6065.84 5.73674 1.11013 16768.6
10000 1 0.85 0 -6147.12 4.90381 4.50076 16812.6
11000 1 0.85 0 -6077.15 5.23702 2.55128 16666.5
12000 1 0.85 0 -6135.48 5.03604 3.59492 16763.4
13000 1 0.85 0 -6086.68 4.75003 5.81195 16774.1
14000 1 0.85 0 -6104.04 4.80625 5.26733 16705.7
15000 1 0.85 0 -6065.03 5.02627 3.63244 16663.1
16000 1 0.85 0 -6151.89 3.76118 29.4041 16157.3
17000 1 0.85 0 -6074.13 6.09831 0.602583 16693.2
18000 1 0.85 0 -6149.75 5.53679 1.57394 17000.2
19000 1 0.85 0 -6117.98 5.25191 2.54311 17033.2
20000 1 0.85 0 -6138.5 5.53878 1.56218 16929.4
21000 1 0.85 0 -6042.88 5.24505 2.56022 16951.6
22000 1 0.85 0 -6131.2 4.75196 5.76346 16688.2
23000 1 0.85 0 -6092.5 4.83169 5.02121 16619.4
24000 1 0.85 0 -6053.94 4.74511 5.96135 17064
25000 1 0.85 0 -6137.46 5.27837 2.38164 16675.7
26000 1 0.85 0 -6118.38 5.84267 0.923432 16660.8
27000 1 0.85 0 -6093.63 4.26688 12.9393 16606.1
28000 1 0.85 0 -6133.82 5.03729 3.51767 16437.6
29000 1 0.85 0 -6064.39 4.06708 18.2273 16731.1
30000 1 0.85 0 -6068.97 4.88437 4.67121 16889.5
31000 1 0.85 0 -6056.83 4.15212 15.8517 16781.6
32000 1 0.85 0 -6084.64 5.53044 1.57578 16839.8
33000 1 0.85 0 -6079.13 3.81004 27.8363 16602.2
34000 1 0.85 0 -6044.55 4.11698 16.8107 16778
35000 1 0.85 0 -6087.91 5.35388 2.06632 16421.4
36000 1 0.85 0 -6027.16 5.85641 0.899212 16602.2
37000 1 0.85 0 -6122.64 5.16793 2.86273 16654.6
38000 1 0.85 0 -6129.31 4.92953 4.22385 16473.7
39000 1 0.85 0 -6106.15 5.5771 1.44703 16722.5
40000 1 0.85 0 -6071.49 5.1278 3.05917 16638.8
41000 1 0.85 0 -6055.7 4.90733 4.41361 16584.5
42000 1 0.85 0 -6048.35 5.78151 1.00627 16385.2
43000 1 0.85 0 -6093.84 5.05691 3.53421 17067.4
44000 1 0.85 0 -6032.05 4.90807 4.43751 16695
45000 1 0.85 0 -6015.66 5.00163 3.87718 17065.6
46000 1 0.85 0 -6103.74 5.07323 3.426 17004.1
47000 1 0.85 0 -6138.88 5.42652 1.85562 16657.9
48000 1 0.85 0 -6074.6 4.88241 4.6071 16603
49000 1 0.85 0 -6058.86 4.64465 6.9023 16693.5
50000 1 0.85 0 -6017.61 4.76571 5.78993 17156
51000 1 0.85 0 -6145.21 4.99379 3.93408 17089.8
52000 1 0.85 0 -6058.77 3.94419 22.5756 16862.4
53000 1 0.85 0 -6009.71 5.28308 2.38917 16861
54000 1 0.85 0 -6114.89 5.16332 2.91592 16833.3
55000 1 0.85 0 -6131.09 5.36346 2.05007 16556.4
56000 1 0.85 0 -6080.16 5.22074 2.63618 16757.2
57000 1 0.85 0 -6084.03 4.68276 6.55969 16912.3
58000 1 0.85 0 -6100.11 5.81484 0.983338 16932.6
59000 1 0.85 0 -6157.85 5.63465 1.31372 16720.9
60000 1 0.85 0 -6016.63 5.46046 1.7729 16847.6
61000 1 0.85 0 -6053.27 5.1336 3.00841 16522.7
62000 1 0.85 0 -6027.73 5.39741 1.93925 16579.1
63000 1 0.85 0 -6077.04 5.19525 2.743 16706.4
64000 1 0.85 0 -6070.97 4.57991 7.62616 16546
65000 1 0.85 0 -6063.65 3.68531 34.7211 16799
66000 1 0.85 0 -6096.43 4.75629 5.80439 16929.3
67000 1 0.85 0 -6080.72 4.86855 4.76245 16768.5
68000 1 0.85 0 -6143.04 4.38173 10.6239 16531.2
69000 1 0.85 0 -6094.49 4.22378 14.0817 16811.8
70000 1 0.85 0 -6083.78 4.91066 4.42478 16719.7
71000 1 0.85 0 -6176.23 4.91844 4.34512 16634.4
72000 1 0.85 0 -6089.52 4.35854 11.079 16581.5
73000 1 0.85 0 -6054.47 5.12943 3.02874 16518.4
74000 1 0.85 0 -6046.82 5.50683 1.62393 16680.3
75000 1 0.85 0 -6144.15 5.30343 2.25644 16477.4
76000 1 0.85 0 -6114.32 5.77171 1.0497 16813.6
77000 1 0.85 0 -6086.46 4.24866 13.6623 17006.1
78000 1 0.85 0 -6042.96 5.26504 2.472 16925.7
79000 1 0.85 0 -6054.99 5.20348 2.69725 16656
