# Time-averaged data for fix FEPout012
# TimeStep v_param v_param012 v_param2 v_pe c_FEP012[1] c_FEP012[2] c_FEP012[3]
42000000 0.7 0.2 0 -6041.44 1.9375 659.846 17016.8
42001000 0.7 0.2 0 -6023.4 2.50758 251.294 16862.3
42002000 0.7 0.2 0 -6040.86 1.59304 1171.96 16959.5
42003000 0.7 0.2 0 -6023.4 0.383359 8848.12 16831.5
42004000 0.7 0.2 0 -6066.8 1.84226 766.842 16856.3
42005000 0.7 0.2 0 -6046.97 1.6993 976.115 16881.7
42006000 0.7 0.2 0 -6072.92 0.624418 5863.13 16711.2
42007000 0.7 0.2 0 -6156.83 0.488483 7363.9 16709.3
42008000 0.7 0.2 0 -6085.68 2.01946 556.9 16478.5
42009000 0.7 0.2 0 -6072.14 0.0600555 14995.2 16584.5
42010000 0.7 0.2 0 -6079.99 0.140543 13191.7 16698.8
42011000 0.7 0.2 0 -6023.95 2.53729 244.668 17256.4
42012000 0.7 0.2 0 -6053.4 1.54072 1267.16 16796.5
42013000 0.7 0.2 0 -6136.96 1.67258 1020.82 16880.9
42014000 0.7 0.2 0 -6077.29 1.6036 1142.99 16835.9
42015000 0.7 0.2 0 -6090.32 1.79681 831.007 16925.8
42016000 0.7 0.2 0 -6127.62 0.979548 3272.89 16924.5
42017000 0.7 0.2 0 -6123.43 -1.15779 115892 16619.5
42018000 0.7 0.2 0 -6027.95 1.60278 1129.33 16611.8
42019000 0.7 0.2 0 -6093.42 2.3409 329.73 16728.8
42020000 0.7 0.2 0 -6062.07 1.81366 803.195 16828.4
42021000 0.7 0.2 0 -6103.39 2.226 396.808 16602.9
42022000 0.7 0.2 0 -6003.82 1.54678 1241.53 16624.9
42023000 0.7 0.2 0 -6111.09 2.13526 462.144 16606.5
42024000 0.7 0.2 0 -6020.79 2.11142 484.67 16733.2
42025000 0.7 0.2 0 -6093.35 0.784812 4513.68 16836.6
42026000 0.7 0.2 0 -6054.09 0.00766485 16659.5 16875.1
42027000 0.7 0.2 0 -6098.04 2.47516 256.654 16310.4
