# Time-averaged data for fix FEPout012
# TimeStep v_param v_param012 v_param2 v_pe c_FEP012[1] c_FEP012[2] c_FEP012[3]
30000000 0.1 0.2 0 -6128.56 0.0414549 15531 16649.4
30001000 0.1 0.2 0 -6135.17 0.0483083 15274.1 16563.3
30002000 0.1 0.2 0 -6164.59 0.0413557 15326.1 16427
30003000 0.1 0.2 0 -6090.5 0.0532058 15260.1 16684.6
30004000 0.1 0.2 0 -6041.31 0.0406113 15438.3 16526.7
30005000 0.1 0.2 0 -6062.61 0.0537714 15118.7 16545.7
30006000 0.1 0.2 0 -6085.77 0.0488289 15227.9 16527.6
30007000 0.1 0.2 0 -5979.44 0.0477149 15212.7 16480.3
30008000 0.1 0.2 0 -6098.82 0.0419173 15676 16817.9
30009000 0.1 0.2 0 -6101.82 0.0494402 14835.5 16118.3
30010000 0.1 0.2 0 -6080.02 0.0432899 15472.3 16637.6
30011000 0.1 0.2 0 -6057.25 0.0540649 15288.6 16739.9
30012000 0.1 0.2 0 -6023.97 0.0521282 15229.7 16621.3
30013000 0.1 0.2 0 -6082.76 0.0519008 15151.3 16529.4
30014000 0.1 0.2 0 -6105.52 0.038479 15763.1 16814.1
30015000 0.1 0.2 0 -6068.6 0.0474925 15442 16722.5
30016000 0.1 0.2 0 -6085.22 0.0419141 15693.9 16837
30017000 0.1 0.2 0 -6159.71 0.0206834 16324.7 16901
30018000 0.1 0.2 0 -6164.38 0.0516695 15308.8 16694.8
30019000 0.1 0.2 0 -6126.77 0.0548868 15145.1 16605.7
30020000 0.1 0.2 0 -6104 0.0448752 15567.1 16784.1
30021000 0.1 0.2 0 -6139.28 0.0184193 16086.3 16591.1
30022000 0.1 0.2 0 -6089.74 0.0361781 15696.6 16678.7
30023000 0.1 0.2 0 -6092.38 0.0348882 15594.7 16534.6
30024000 0.1 0.2 0 -6083.22 0.0446975 15432.9 16634.5
30025000 0.1 0.2 0 -6197.25 0.0350269 15587.1 16530.3
30026000 0.1 0.2 0 -6131.28 0.0520618 15115.8 16495.2
30027000 0.1 0.2 0 -6044.06 0.052202 15427.2 16839
30028000 0.1 0.2 0 -6138.12 0.0295006 16268.6 17093.9
30029000 0.1 0.2 0 -6093.6 0.0421139 15482.4 16615.6
30030000 0.1 0.2 0 -6119.18 0.04448 15306.4 16492.1
30031000 0.1 0.2 0 -6072.9 0.0446313 15467 16669.3
30032000 0.1 0.2 0 -6071.2 0.0149121 16283.3 16695.7
30033000 0.1 0.2 0 -6096.94 0.0581845 14878.2 16403.5
30034000 0.1 0.2 0 -6083.88 0.0457095 15250.9 16466.2
30035000 0.1 0.2 0 -6095.41 0.0446644 15265 16452.6
30036000 0.1 0.2 0 -6134.95 0.049681 15016 16321
30037000 0.1 0.2 0 -6079.75 0.0288132 15947.8 16737.5
30038000 0.1 0.2 0 -6126.32 0.0345092 15427.2 16346.6
30039000 0.1 0.2 0 -6156.16 0.0196682 16128.7 16669.7
30040000 0.1 0.2 0 -6090.65 0.0601551 15105.3 16709
30041000 0.1 0.2 0 -6099.78 0.0436159 15352.1 16517.4
30042000 0.1 0.2 0 -6033.23 0.0503509 15005.9 16328.4
30043000 0.1 0.2 0 -6057.44 0.0501664 15577 16944.5
30044000 0.1 0.2 0 -6066.49 0.0606448 15105.7 16723.2
30045000 0.1 0.2 0 -6075.72 0.0617414 14952.4 16584
30046000 0.1 0.2 0 -6041.21 0.0468627 15507.5 16775.7
30047000 0.1 0.2 0 -6162.03 0.0516771 15071.1 16435.8
30048000 0.1 0.2 0 -6085.74 0.0474186 15197.5 16455.7
30049000 0.1 0.2 0 -6116.98 0.0522836 14924.1 16292.1
30050000 0.1 0.2 0 -6037.88 0.0400297 15525.1 16603.4
30051000 0.1 0.2 0 -6121.85 0.0537951 15146.2 16576.5
30052000 0.1 0.2 0 -6096.63 0.0532538 15039.1 16444.4
30053000 0.1 0.2 0 -6139.06 0.032605 15739.4 16624.2
30054000 0.1 0.2 0 -6072.16 0.0336031 15708.3 16619.1
30055000 0.1 0.2 0 -6113.72 0.0465639 15283.2 16524.8
30056000 0.1 0.2 0 -6086.85 0.0653522 14867.3 16589.8
30057000 0.1 0.2 0 -6170.76 0.0385986 15439.5 16472.2
30058000 0.1 0.2 0 -6115.92 0.0409518 15482.5 16583.4
30059000 0.1 0.2 0 -6126.57 0.0398406 15369.6 16431.8
30060000 0.1 0.2 0 -6081.82 0.0491559 15405.8 16729.9
30061000 0.1 0.2 0 -6104.97 0.05261 15133.3 16529.4
30062000 0.1 0.2 0 -6098.84 0.0453299 15375.8 16590.6
30063000 0.1 0.2 0 -6108.61 0.0453304 15617.2 16851
30064000 0.1 0.2 0 -6114.01 0.0446534 15476.4 16680.1
30065000 0.1 0.2 0 -5978 0.0515666 15497.1 16897.3
30066000 0.1 0.2 0 -6037.76 0.0457876 15526.4 16765.9
30067000 0.1 0.2 0 -6100.04 0.048277 15475 16780.3
30068000 0.1 0.2 0 -6095.15 0.0526443 15284.5 16695.6
30069000 0.1 0.2 0 -6066.22 0.0553582 14973.1 16430
