# Time-averaged data for fix FEPout001
# TimeStep v_param v_param001 v_param2 v_pe c_FEP001[1] c_FEP001[2] c_FEP001[3]
35000000 0.75 0.95 0 -6093.76 -3.12572 3.14618e+06 16624.5
35001000 0.75 0.95 0 -6081.83 -0.824561 65847.2 16514.2
35002000 0.75 0.95 0 -6114.21 -2.03885 503152 16459.9
35003000 0.75 0.95 0 -6096.2 -0.30131 27323.6 16483.1
35004000 0.75 0.95 0 -6067.45 -1.06736 99009.7 16524.2
35005000 0.75 0.95 0 -6116.33 -2.74661 1.68158e+06 16782.4
35006000 0.75 0.95 0 -6095.12 0.180973 12054.1 16329.5
35007000 0.75 0.95 0 -6145.92 -0.481412 37238.5 16607
35008000 0.75 0.95 0 -6043.84 -5.11735 8.80694e+07 16478.5
35009000 0.75 0.95 0 -6068.09 -0.199994 23157.9 16558
35010000 0.75 0.95 0 -6086.43 -4.61704 3.90638e+07 16917.6
35011000 0.75 0.95 0 -6066.12 -3.13495 3.23548e+06 16833.7
35012000 0.75 0.95 0 -6100.43 -3.54558 6.44445e+06 16838
35013000 0.75 0.95 0 -6062.12 -3.94679 1.24682e+07 16620.1
35014000 0.75 0.95 0 -6090.36 -2.77333 1.76495e+06 16842.4
35015000 0.75 0.95 0 -6100.38 -4.3123 2.33297e+07 16844.8
35016000 0.75 0.95 0 -6058.57 -3.61121 7.13261e+06 16693.1
35017000 0.75 0.95 0 -6105.18 -2.28832 773000 16640.9
35018000 0.75 0.95 0 -6100.62 -4.02118 1.42828e+07 16805.4
35019000 0.75 0.95 0 -6135.98 -4.37973 2.59998e+07 16765
35020000 0.75 0.95 0 -6053.56 -3.99012 1.33715e+07 16574.5
35021000 0.75 0.95 0 -6173.56 -4.10117 1.61875e+07 16654.9
35022000 0.75 0.95 0 -6112.24 0.805088 4298.87 16590
35023000 0.75 0.95 0 -6080.17 -2.68337 1.5063e+06 16715.5
35024000 0.75 0.95 0 -6028.59 -2.31532 812021 16706.7
35025000 0.75 0.95 0 -6067.46 0.53758 6816.81 16795.8
35026000 0.75 0.95 0 -6080.75 -5.18399 1.00086e+08 16746.4
35027000 0.75 0.95 0 -6072.73 -4.92465 6.52688e+07 16872.3
35028000 0.75 0.95 0 -6116.39 -3.47498 5.73815e+06 16877.4
35029000 0.75 0.95 0 -6037.34 -4.2074 1.93843e+07 16688.8
35030000 0.75 0.95 0 -6084.82 -3.3264 4.40614e+06 16627.5
35031000 0.75 0.95 0 -6073.9 -2.43578 997708 16771.7
35032000 0.75 0.95 0 -6077.7 -2.5756 1.23549e+06 16427
