# Time-averaged data for fix FEPout007
# TimeStep v_param v_param007 v_param2 v_pe c_FEP007[1] c_FEP007[2] c_FEP007[3]
14000000 0.9 0.65 0 -6048.65 5.30344 2.33032 17017.1
14001000 0.9 0.65 0 -6007.97 1.8854 720.945 17036.7
14002000 0.9 0.65 0 -6100.6 3.63412 38.2387 16978.7
14003000 0.9 0.65 0 -6077.25 4.60844 7.39112 16822.2
14004000 0.9 0.65 0 -6040.35 4.28793 12.687 16867.3
14005000 0.9 0.65 0 -6100.06 3.18965 79.7131 16793.3
14006000 0.9 0.65 0 -6138.36 5.29354 2.35922 16944.3
14007000 0.9 0.65 0 -6153.84 4.85428 4.87996 16775.8
14008000 0.9 0.65 0 -6083.89 5.1025 3.20046 16684
14009000 0.9 0.65 0 -6112.54 5.38801 1.95809 16478.4
14010000 0.9 0.65 0 -6097.32 4.78324 5.43356 16580.5
14011000 0.9 0.65 0 -6054.63 5.53134 1.5467 16554
14012000 0.9 0.65 0 -6048.46 5.23894 2.49302 16338.5
14013000 0.9 0.65 0 -6090.83 4.15324 15.7842 16741.4
14014000 0.9 0.65 0 -6080.52 4.84901 4.91244 16738.7
14015000 0.9 0.65 0 -6113.87 2.4353 275.353 16366.9
14016000 0.9 0.65 0 -6093.88 5.52325 1.58535 16738.9
14017000 0.9 0.65 0 -6033.13 4.49242 8.9309 16732.1
14018000 0.9 0.65 0 -6070.01 5.31229 2.28343 16924.1
14019000 0.9 0.65 0 -6167.68 5.48607 1.67613 16627.4
14020000 0.9 0.65 0 -6065.24 5.22831 2.58955 16671
14021000 0.9 0.65 0 -6099.73 3.09533 91.6735 16487
14022000 0.9 0.65 0 -6076.83 4.14059 16.3603 16988.1
14023000 0.9 0.65 0 -6086.1 3.33467 61.99 16656.3
14024000 0.9 0.65 0 -6200.11 3.1323 86.0563 16466.9
14025000 0.9 0.65 0 -6062.49 4.66385 6.76889 16906.7
14026000 0.9 0.65 0 -6055.51 1.78227 852.582 16947
14027000 0.9 0.65 0 -6123.13 3.42706 53.1178 16664.7
14028000 0.9 0.65 0 -6065.62 0.984765 3225.27 16824.9
14029000 0.9 0.65 0 -6150.65 4.37517 10.8176 16648.3
14030000 0.9 0.65 0 -6100.02 4.56304 7.79396 16438.5
