# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
30067000 0.1 0.01 0 301.347 -663.513 16780.3 -6100.04 -0.000507176 0.000774925
30068000 0.1 0.01 0 309.206 -409.777 16695.6 -6095.15 -0.000557301 0.000850366
30069000 0.1 0.01 0 293.993 -202.966 16430 -6066.22 -0.000588062 0.000895932
30070000 0.1 0.01 0 290.869 -586.421 16619.2 -6033.67 -0.00039417 0.000611718
30071000 0.1 0.01 0 288.402 -1162.28 16768.7 -6093.16 -0.000345968 0.000542805
30072000 0.1 0.01 0 317.95 -709.46 16402.2 -6069.9 -0.000478992 0.000735899
30073000 0.1 0.01 0 308.422 1210.24 16318.2 -6104.82 -0.000349681 0.000549991
30074000 0.1 0.01 0 302.481 65.8343 16659.2 -6080.29 -0.000220121 0.000358545
30075000 0.1 0.01 0 295.616 1119.71 16786.9 -6131.37 -0.000499347 0.000761888
30076000 0.1 0.01 0 302.587 -1044.15 16874.9 -6061 -0.000300965 0.000477971
30077000 0.1 0.01 0 296.916 403.724 16649 -6044.03 -0.000475952 0.000729468
30078000 0.1 0.01 0 293.139 -781.856 16738.6 -6104.25 -0.000584492 0.000887215
30079000 0.1 0.01 0 290.191 -381.407 16861.5 -6087.18 -0.000515956 0.000785967
30080000 0.1 0.01 0 298.665 969.681 16609.8 -6084.64 -0.000411476 0.00063863
30081000 0.1 0.01 0 287.201 324.102 16758.6 -6104.2 -0.000540987 0.000825082
30082000 0.1 0.01 0 301.758 -743.947 16558.3 -6090.33 -0.000292626 0.000464774
30083000 0.1 0.01 0 295.734 -469.614 16500.3 -6122.12 -0.000449268 0.000692016
30084000 0.1 0.01 0 300.363 -273.741 16471.3 -6053.75 -0.000669091 0.0010089
30085000 0.1 0.01 0 310.225 53.8925 16462.1 -6131.9 -0.000466955 0.000718067
30086000 0.1 0.01 0 295.431 -105.132 16602.4 -6116.99 -0.000384895 0.000601446
30087000 0.1 0.01 0 288.804 -47.8007 16532.3 -6194.76 -0.000733901 0.00110391
30088000 0.1 0.01 0 303.63 1141.07 16474.8 -6094.27 -0.000343525 0.00054002
30089000 0.1 0.01 0 304.509 945.195 16610 -6100.59 -0.000627253 0.000948125
30090000 0.1 0.01 0 293.46 -817.97 16963.2 -6104.79 -0.000682553 0.00102603
30091000 0.1 0.01 0 309.931 -677.222 16704.2 -6137 -0.000474085 0.000729934
30092000 0.1 0.01 0 288.422 -256.126 16605 -6131.39 -0.000593503 0.000900083
30093000 0.1 0.01 0 302.844 417.786 16393.2 -6085.78 -0.000518313 0.000788662
30094000 0.1 0.01 0 297.358 283.287 16541.6 -6163.36 -0.000356127 0.000559151
30095000 0.1 0.01 0 312.99 207.57 16436.4 -6052.98 -0.000373719 0.000582887
30096000 0.1 0.01 0 310.745 -436.749 16759.2 -6093.51 -0.000253229 0.000407233
30097000 0.1 0.01 0 288.437 -952.573 17055.9 -6029.72 -0.000101152 0.000187259
30098000 0.1 0.01 0 301.715 -757.926 16643 -6147.65 -0.000431179 0.000662904
30099000 0.1 0.01 0 304.169 -191.028 16760.2 -6078.62 -0.000467341 0.000719732
30100000 0.1 0.01 0 296.028 -197.368 16603.9 -6121.6 -0.000645428 0.000976858
30101000 0.1 0.01 0 296.886 551.21 16824.8 -6090.64 -0.000431677 0.000669915
30102000 0.1 0.01 0 280.841 -43.3476 16689.1 -6109.62 -0.000541116 0.000827789
30103000 0.1 0.01 0 282.479 204.339 16873.4 -6054.13 -0.000506233 0.000771843
30104000 0.1 0.01 0 295.678 57.8034 16443.9 -6082.52 -0.000528598 0.000806027
30105000 0.1 0.01 0 301.253 68.3223 16490 -6117.62 -0.000434374 0.00067182
30106000 0.1 0.01 0 304.095 887.175 16608.7 -6118.83 -0.000357864 0.000559708
30107000 0.1 0.01 0 293.799 230.095 16437.9 -6101.1 -0.000502791 0.000773035
30108000 0.1 0.01 0 304.604 513.608 16344.3 -6095.39 -0.000489999 0.000750365
30109000 0.1 0.01 0 313.181 706.13 16707.6 -6048.1 -0.000449629 0.000693277
30110000 0.1 0.01 0 299.877 589.775 16428.5 -6089.76 -0.000577678 0.00087988
30111000 0.1 0.01 0 300.938 346.271 16584.8 -6094.61 -0.000420254 0.000656356
30112000 0.1 0.01 0 307.3 33.7108 16657.4 -6058.43 -0.000437245 0.00067552
30113000 0.1 0.01 0 294.153 -478.92 16823.2 -6047.55 -0.000497418 0.000764099
30114000 0.1 0.01 0 297.353 847.409 16294.1 -6149.74 -0.000377245 0.000589855
30115000 0.1 0.01 0 297.385 100.93 16667.8 -6065.89 -0.000545831 0.000830869
30116000 0.1 0.01 0 298.581 -766.302 16816.5 -6099.65 -0.000356249 0.000559424
30117000 0.1 0.01 0 290.378 -360.877 16671.2 -6073.72 -0.000346976 0.000542205
30118000 0.1 0.01 0 303.091 -33.2572 16760.5 -6113.61 -0.000423066 0.000653741
30119000 0.1 0.01 0 283.598 -452.726 16667.5 -6057.21 -0.000243772 0.000396396
30120000 0.1 0.01 0 304.379 -340.754 17180.7 -6075.68 -0.000448018 0.000689251
30121000 0.1 0.01 0 302.581 -623.017 16904 -6123.29 -0.000453373 0.000697548
30122000 0.1 0.01 0 302.009 30.4875 16583.2 -6149.14 -0.000587438 0.000888182
30123000 0.1 0.01 0 308.559 448.063 16661.3 -6157.42 -0.00050081 0.000762382
30124000 0.1 0.01 0 304.532 -616.647 16635.6 -6114.15 -0.000585783 0.000891744
30125000 0.1 0.01 0 300.972 -35.7293 16718.4 -6045.08 -0.000471822 0.000725409
30126000 0.1 0.01 0 300.057 251.17 16914.4 -6056.09 -0.000759824 0.00114359
30127000 0.1 0.01 0 291.33 73.4873 16654.7 -6132.88 -0.000596424 0.00090534
30128000 0.1 0.01 0 309.389 147.952 16551.5 -6110.42 -0.000491334 0.000751982
30129000 0.1 0.01 0 289.574 47.966 16511.4 -6152.86 -0.000420321 0.000651968
30130000 0.1 0.01 0 282.889 -841.002 16569.8 -6117.89 -0.000278202 0.000446961
30131000 0.1 0.01 0 289.088 330.882 16673.1 -6085.55 -0.000354212 0.000553549
30132000 0.1 0.01 0 296.955 424.456 16400 -6100.11 -0.000465066 0.000715929
30133000 0.1 0.01 0 297.433 246.911 16427.7 -6125.88 -0.000436428 0.000677275
30134000 0.1 0.01 0 291.68 232.91 16639.6 -6162.84 -0.000348555 0.0005434
30135000 0.1 0.01 0 305.577 192.684 16656.8 -6088.81 -0.000484165 0.000743753
30136000 0.1 0.01 0 294.372 692.394 16389.3 -6100.19 -0.000345119 0.00054386
30137000 0.1 0.01 0 307.781 -444.059 16627.2 -6064.25 -0.000390379 0.000607073
30138000 0.1 0.01 0 306.944 268.36 16580.3 -6054.74 -0.000342552 0.000540592
30139000 0.1 0.01 0 298.758 -620.68 16813.7 -6114.43 -0.000316859 0.000500801
30140000 0.1 0.01 0 301.877 -7.58847 16672.3 -6149.88 -0.000322864 0.000507905
30141000 0.1 0.01 0 301.201 121.893 16884.9 -6062.38 -0.00048327 0.000740959
30142000 0.1 0.01 0 305.992 23.7613 16680.2 -6127.78 -0.000451877 0.000699571
30143000 0.1 0.01 0 295.202 543.031 16634.1 -6076.69 -0.000383806 0.000600679
30144000 0.1 0.01 0 307.649 366.759 16757.5 -6084.39 -0.000514601 0.000787595
30145000 0.1 0.01 0 316.684 1717.62 16550 -6099.7 -0.000446998 0.000688452
30146000 0.1 0.01 0 292.395 45.527 16596.4 -6104.7 -0.000623172 0.000940563
30147000 0.1 0.01 0 302.454 961.974 16433 -6100.71 -0.000519382 0.000793213
30148000 0.1 0.01 0 297.093 -853.937 16853.2 -6106.73 -0.000597119 0.000903478
30149000 0.1 0.01 0 307.965 -415.575 16841.1 -6096.04 -0.000292679 0.000464253
30150000 0.1 0.01 0 312.142 -418.521 16682.4 -6091.35 -0.000495487 0.000759398
30151000 0.1 0.01 0 304.414 314.145 16451 -6122.46 -0.000533475 0.000816058
30152000 0.1 0.01 0 296.947 -741.837 16856.9 -6064.84 -0.000474348 0.000728955
