# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
42000000 0.7 0.01 0 295.766 777.138 17016.8 -6041.44 0.0950358 -0.0983011
42001000 0.7 0.01 0 306.927 118.035 16862.3 -6023.4 0.136261 -0.141933
42002000 0.7 0.01 0 300.231 219.093 16959.5 -6040.86 0.0650281 -0.0661183
42003000 0.7 0.01 0 293.08 -202.148 16831.5 -6023.4 -0.0275092 0.0320242
42004000 0.7 0.01 0 300.573 -877.141 16856.3 -6066.8 0.0906255 -0.0937901
42005000 0.7 0.01 0 303.276 -71.3464 16881.7 -6046.97 0.0764196 -0.0784793
42006000 0.7 0.01 0 309.464 406.003 16711.2 -6072.92 -0.0206647 0.0260867
42007000 0.7 0.01 0 297.716 385.514 16709.3 -6156.83 -0.0270743 0.0328159
42008000 0.7 0.01 0 292.254 628.432 16478.5 -6085.68 0.0994236 -0.102852
42009000 0.7 0.01 0 295.04 -227.327 16584.5 -6072.14 -0.0569863 0.0638932
42010000 0.7 0.01 0 307.464 440.776 16698.8 -6079.99 -0.0547417 0.0619257
42011000 0.7 0.01 0 300.807 98.9857 17256.4 -6023.95 0.142236 -0.148422
42012000 0.7 0.01 0 305.712 270.972 16796.5 -6053.4 0.0667745 -0.0684801
42013000 0.7 0.01 0 299.996 -1330.24 16880.9 -6136.96 0.0708473 -0.0724976
42014000 0.7 0.01 0 294.74 351.802 16835.9 -6077.29 0.0634164 -0.0643446
42015000 0.7 0.01 0 299.825 -585.507 16925.8 -6090.32 0.0841224 -0.0867211
42016000 0.7 0.01 0 312.622 178.223 16924.5 -6127.62 0.0182349 -0.0163877
42017000 0.7 0.01 0 294.365 123.355 16619.5 -6123.43 -0.140195 0.151565
42018000 0.7 0.01 0 311.329 345.952 16611.8 -6027.95 0.0658014 -0.067124
42019000 0.7 0.01 0 297.45 86.1826 16728.8 -6093.42 0.129707 -0.135262
42020000 0.7 0.01 0 289.527 -265.071 16828.4 -6062.07 0.0896889 -0.0928079
42021000 0.7 0.01 0 295.941 -29.9676 16602.9 -6103.39 0.117542 -0.1222
42022000 0.7 0.01 0 299.73 -450.78 16624.9 -6003.82 0.0613358 -0.0623217
42023000 0.7 0.01 0 307.71 -304.878 16606.5 -6111.09 0.106131 -0.109892
42024000 0.7 0.01 0 298.23 -593.689 16733.2 -6020.79 0.104251 -0.107895
