# Time-averaged data for fix FEPout011
# TimeStep v_param v_param011 v_param2 v_pe c_FEP011[1] c_FEP011[2] c_FEP011[3]
9000000 0.4 0.3 0 -6061.2 -2.28102 756594 16488.3
9001000 0.4 0.3 0 -6156.9 -2.32054 819832 16720.5
9002000 0.4 0.3 0 -6046.66 -2.30361 795220 16685.6
9003000 0.4 0.3 0 -6070.6 -2.21101 682394 16724.2
9004000 0.4 0.3 0 -6157 -2.31444 789868 16275
9005000 0.4 0.3 0 -6056.45 -2.85406 2.00088e+06 16675.6
9006000 0.4 0.3 0 -6107.67 -2.70794 1.56995e+06 16718.5
9007000 0.4 0.3 0 -6030.3 -1.62949 253931 16506.5
9008000 0.4 0.3 0 -6068.57 -1.8516 369338 16541
9009000 0.4 0.3 0 -6078.09 -1.81214 346944 16601.5
9010000 0.4 0.3 0 -6045.88 -2.09386 561740 16756.7
9011000 0.4 0.3 0 -6129.97 -2.10642 562617 16433.2
9012000 0.4 0.3 0 -6031.52 -1.98319 469043 16845.7
9013000 0.4 0.3 0 -6085.92 -1.73707 310428 16847.3
9014000 0.4 0.3 0 -6059.63 -1.4843 202258 16773.4
9015000 0.4 0.3 0 -6077.5 -2.70832 1.61134e+06 17148.2
9016000 0.4 0.3 0 -6029.82 -1.50319 211555 16997.2
9017000 0.4 0.3 0 -6110.59 -2.22813 690074 16433.8
9018000 0.4 0.3 0 -6128.96 -2.71567 1.58239e+06 16634
9019000 0.4 0.3 0 -6026.05 -2.58629 1.28902e+06 16834.1
9020000 0.4 0.3 0 -6051.6 -2.6242 1.35852e+06 16648.6
9021000 0.4 0.3 0 -6111.86 -2.3654 874207 16537.1
9022000 0.4 0.3 0 -6171.92 -2.28586 770974 16665.8
9023000 0.4 0.3 0 -6119.81 -2.34399 851234 16691.2
9024000 0.4 0.3 0 -6124.61 -3.21627 3.61108e+06 16392.2
9025000 0.4 0.3 0 -6085.57 -2.86484 2.03431e+06 16650.6
9026000 0.4 0.3 0 -6122.65 -2.23393 706839 16670
9027000 0.4 0.3 0 -6128.23 -2.63587 1.38045e+06 16589.6
9028000 0.4 0.3 0 -6116.13 -1.83734 365045 16744.6
9029000 0.4 0.3 0 -6073.71 -2.31865 818292 16742
9030000 0.4 0.3 0 -6039.87 -2.0359 507154 16673.2
9031000 0.4 0.3 0 -6056.03 -2.72782 1.64588e+06 16952.1
9032000 0.4 0.3 0 -6124.83 -2.57862 1.25011e+06 16537.2
9033000 0.4 0.3 0 -6045.01 -2.52724 1.14516e+06 16512.4
9034000 0.4 0.3 0 -6031.03 -1.87043 382534 16599.5
9035000 0.4 0.3 0 -6050.86 -1.43451 184415 16625.7
9036000 0.4 0.3 0 -6103 -1.86867 378608 16477.7
9037000 0.4 0.3 0 -6108.34 -1.73186 302704 16572.5
9038000 0.4 0.3 0 -6096.22 -1.6316 256785 16633.3
9039000 0.4 0.3 0 -6131.33 -1.11688 108113 16605.3
9040000 0.4 0.3 0 -6103.83 -2.62622 1.32069e+06 16130.3
9041000 0.4 0.3 0 -6104.64 -3.08738 2.92618e+06 16488.9
9042000 0.4 0.3 0 -6128.09 -3.0303 2.6675e+06 16541.8
9043000 0.4 0.3 0 -6051.01 -0.911856 77734.2 16839.9
9044000 0.4 0.3 0 -6009.41 -1.61669 249287 16556.5
9045000 0.4 0.3 0 -6139.59 -2.32563 807297 16324.9
9046000 0.4 0.3 0 -6088.88 -1.42712 181982 16610.8
9047000 0.4 0.3 0 -6111.83 -2.28126 757611 16503.7
9048000 0.4 0.3 0 -6005.34 -2.88626 2.09191e+06 16517.7
9049000 0.4 0.3 0 -6075.43 -2.03906 504574 16500.6
9050000 0.4 0.3 0 -6101.87 -2.10922 563648 16386
9051000 0.4 0.3 0 -6100.88 -2.03988 500725 16352.4
9052000 0.4 0.3 0 -6114.02 -2.7869 1.78461e+06 16646.8
9053000 0.4 0.3 0 -6067.44 -1.44547 187080 16558.6
9054000 0.4 0.3 0 -6126.21 -1.06519 97458.3 16324.7
9055000 0.4 0.3 0 -6046.3 -2.42428 977509 16752.3
9056000 0.4 0.3 0 -6062.94 -3.05252 2.73175e+06 16320.4
9057000 0.4 0.3 0 -6082.65 -2.15348 611010 16492
9058000 0.4 0.3 0 -6087.63 -1.89222 390216 16324.9
9059000 0.4 0.3 0 -6061.82 -2.27279 746831 16501.9
9060000 0.4 0.3 0 -6080.2 -2.71875 1.58274e+06 16551.8
9061000 0.4 0.3 0 -6127.2 -2.28772 780360 16816.3
9062000 0.4 0.3 0 -6087.92 -2.02916 504261 16766.7
9063000 0.4 0.3 0 -6114.84 -2.03105 497047 16474.3
9064000 0.4 0.3 0 -6092.04 -2.86764 2.07688e+06 16919.3
9065000 0.4 0.3 0 -6040.18 -3.2404 3.91315e+06 17058.7
9066000 0.4 0.3 0 -6086.72 -2.5376 1.17358e+06 16630.6
9067000 0.4 0.3 0 -6055.65 -2.89713 2.16404e+06 16778.5
9068000 0.4 0.3 0 -6132.42 -1.20669 126188 16670.9
9069000 0.4 0.3 0 -6099.56 -1.89607 397523 16523.8
9070000 0.4 0.3 0 -6110.56 -1.54161 223526 16838
9071000 0.4 0.3 0 -6086.94 -3.08563 2.98107e+06 16847.7
9072000 0.4 0.3 0 -6078.35 -2.4291 998109 16967.6
9073000 0.4 0.3 0 -6125.46 -2.4715 1.03837e+06 16440
9074000 0.4 0.3 0 -6126.39 -0.366363 31247.2 16901.3
9075000 0.4 0.3 0 -6162.21 -2.0048 480703 16649.8
9076000 0.4 0.3 0 -6027.9 -1.91369 416240 16797.8
9077000 0.4 0.3 0 -6058.74 -1.88169 392030 16693.2
9078000 0.4 0.3 0 -6057.45 -1.83814 364525 16698.4
9079000 0.4 0.3 0 -6070.64 -2.44559 1.00344e+06 16592.9
9080000 0.4 0.3 0 -6021.91 -3.03111 2.70784e+06 16769.1
9081000 0.4 0.3 0 -6070.47 -2.27869 758976 16605.1
9082000 0.4 0.3 0 -6143.38 -2.11555 572765 16475.4
