# Time-averaged data for fix FEPout012
# TimeStep v_param v_param012 v_param2 v_pe c_FEP012[1] c_FEP012[2] c_FEP012[3]
7000000 0.95 0.2 0 -6116.17 8.43348 0.0119506 16635.9
7001000 0.95 0.2 0 -6152.39 8.93615 0.00510413 16510.6
7002000 0.95 0.2 0 -6136.12 8.30684 0.0148501 16716
7003000 0.95 0.2 0 -6062 9.1845 0.00343151 16836.3
7004000 0.95 0.2 0 -6144.92 7.57321 0.0506838 16666.1
7005000 0.95 0.2 0 -6120.85 7.6737 0.0430883 16769.9
7006000 0.95 0.2 0 -6095.37 7.1121 0.107421 16298.3
7007000 0.95 0.2 0 -6124.88 7.4635 0.0614815 16818.4
7008000 0.95 0.2 0 -6083.97 8.69823 0.00772464 16764.8
7009000 0.95 0.2 0 -6046.41 7.35216 0.0734157 16661.7
7010000 0.95 0.2 0 -6083.01 8.18034 0.0183515 16707.8
7011000 0.95 0.2 0 -6092.77 6.69896 0.220953 16764.2
7012000 0.95 0.2 0 -6137.62 9.65256 0.00154899 16664.3
7013000 0.95 0.2 0 -6090.87 8.29256 0.0151765 16678.9
7014000 0.95 0.2 0 -6096.52 7.86702 0.0315124 16962.1
7015000 0.95 0.2 0 -6125.42 9.40849 0.00230091 16437.5
7016000 0.95 0.2 0 -6080.21 8.5648 0.00979218 16990.1
7017000 0.95 0.2 0 -6114.48 8.59277 0.0091537 16645.4
7018000 0.95 0.2 0 -6129.96 8.19527 0.0176997 16523
7019000 0.95 0.2 0 -6102.55 8.90226 0.00544128 16628.5
7020000 0.95 0.2 0 -6072.12 7.30768 0.0793368 16711
7021000 0.95 0.2 0 -6071.64 7.45537 0.0618122 16679.9
7022000 0.95 0.2 0 -6139.33 9.1788 0.00341877 16614.1
7023000 0.95 0.2 0 -6094.89 8.70134 0.00768409 16764.1
7024000 0.95 0.2 0 -6042.72 8.44867 0.0116968 16702.7
7025000 0.95 0.2 0 -6095.15 6.36778 0.383002 16673.5
7026000 0.95 0.2 0 -6116.51 4.60427 7.37488 16668.4
7027000 0.95 0.2 0 -6032.54 7.47845 0.0602099 16888.8
7028000 0.95 0.2 0 -5976.84 6.40433 0.365872 16934.9
7029000 0.95 0.2 0 -6018.62 8.36847 0.0134857 16833.3
7030000 0.95 0.2 0 -6104.42 7.28626 0.0819508 16652.4
7031000 0.95 0.2 0 -6105.58 6.48165 0.317016 16705.4
