# Time-averaged data for fix FEPout007
# TimeStep v_param v_param007 v_param2 v_pe c_FEP007[1] c_FEP007[2] c_FEP007[3]
49000000 0.65 0.65 0 -6168.61 0 16830.7 16830.7
49001000 0.65 0.65 0 -6061.29 0 16807.9 16807.9
49002000 0.65 0.65 0 -6069.34 0 16727.3 16727.3
49003000 0.65 0.65 0 -6005.36 0 16930.2 16930.2
49004000 0.65 0.65 0 -6107.83 0 16576.7 16576.7
49005000 0.65 0.65 0 -6091.23 0 16797.1 16797.1
49006000 0.65 0.65 0 -6093.75 0 16816.1 16816.1
49007000 0.65 0.65 0 -6103.26 0 16815.3 16815.3
49008000 0.65 0.65 0 -6081.8 0 16879.9 16879.9
49009000 0.65 0.65 0 -6058.04 0 16479.2 16479.2
49010000 0.65 0.65 0 -6115.74 0 16541.5 16541.5
49011000 0.65 0.65 0 -6027.47 0 16669.6 16669.6
49012000 0.65 0.65 0 -6120.05 0 16437.9 16437.9
49013000 0.65 0.65 0 -6122.85 0 16584.1 16584.1
49014000 0.65 0.65 0 -6090.92 0 16740.3 16740.3
49015000 0.65 0.65 0 -6106.17 0 16720.5 16720.5
49016000 0.65 0.65 0 -6090.62 0 16843.3 16843.3
49017000 0.65 0.65 0 -6032.12 0 16903.7 16903.7
49018000 0.65 0.65 0 -6072.99 0 16709.9 16709.9
49019000 0.65 0.65 0 -6053.07 0 16863.3 16863.3
49020000 0.65 0.65 0 -6113.51 0 16629.2 16629.2
49021000 0.65 0.65 0 -6118.51 0 16620.7 16620.7
49022000 0.65 0.65 0 -6094.83 0 16732.3 16732.3
49023000 0.65 0.65 0 -6056.67 0 16806.1 16806.1
49024000 0.65 0.65 0 -6080.87 0 16522.3 16522.3
49025000 0.65 0.65 0 -6114.29 0 17083.3 17083.3
49026000 0.65 0.65 0 -6061.78 0 16767.1 16767.1
49027000 0.65 0.65 0 -6083.87 0 16770.3 16770.3
49028000 0.65 0.65 0 -6075.82 0 16660 16660
49029000 0.65 0.65 0 -6060.22 0 16955.7 16955.7
49030000 0.65 0.65 0 -6041.55 0 16618.8 16618.8
49031000 0.65 0.65 0 -6097.97 0 16591.9 16591.9
49032000 0.65 0.65 0 -6112.43 0 16645.9 16645.9
49033000 0.65 0.65 0 -6055.14 0 16587.4 16587.4
49034000 0.65 0.65 0 -6120.94 0 16664.5 16664.5
49035000 0.65 0.65 0 -6072.02 0 16583.2 16583.2
49036000 0.65 0.65 0 -6113.88 0 16898.9 16898.9
49037000 0.65 0.65 0 -6089.62 0 16855.2 16855.2
49038000 0.65 0.65 0 -6026.34 0 16571.6 16571.6
49039000 0.65 0.65 0 -6067.01 0 16721.8 16721.8
49040000 0.65 0.65 0 -6073.5 0 16680.4 16680.4
49041000 0.65 0.65 0 -6053.82 0 16807.2 16807.2
49042000 0.65 0.65 0 -6091.62 0 16649.8 16649.8
49043000 0.65 0.65 0 -6034.22 0 16684.1 16684.1
49044000 0.65 0.65 0 -6144.9 0 16641.5 16641.5
49045000 0.65 0.65 0 -6092.67 0 17025.1 17025.1
49046000 0.65 0.65 0 -6113.17 0 16869.1 16869.1
49047000 0.65 0.65 0 -6110.89 0 16887.1 16887.1
49048000 0.65 0.65 0 -6123.7 0 16581.2 16581.2
49049000 0.65 0.65 0 -6083.84 0 16551.8 16551.8
49050000 0.65 0.65 0 -6041.78 0 16572.5 16572.5
49051000 0.65 0.65 0 -6065.09 0 16504.4 16504.4
49052000 0.65 0.65 0 -6110.06 0 16702.6 16702.6
49053000 0.65 0.65 0 -6072.38 0 16895.6 16895.6
49054000 0.65 0.65 0 -6061.45 0 16909.8 16909.8
49055000 0.65 0.65 0 -6110.8 0 16710.9 16710.9
49056000 0.65 0.65 0 -6062.46 0 16487.1 16487.1
49057000 0.65 0.65 0 -6050.3 0 16444.1 16444.1
49058000 0.65 0.65 0 -6029.1 0 16827.5 16827.5
49059000 0.65 0.65 0 -6046.95 0 16666.3 16666.3
49060000 0.65 0.65 0 -6056.1 0 16603.1 16603.1
49061000 0.65 0.65 0 -6036.72 0 16664.7 16664.7
49062000 0.65 0.65 0 -6079.5 0 16444.6 16444.6
49063000 0.65 0.65 0 -6052 0 17116.8 17116.8
49064000 0.65 0.65 0 -6054.72 0 16642.6 16642.6
49065000 0.65 0.65 0 -6081.61 0 17001.4 17001.4
49066000 0.65 0.65 0 -6111.48 0 16864.5 16864.5
49067000 0.65 0.65 0 -6122.7 0 16886 16886
49068000 0.65 0.65 0 -6125.72 0 17010.5 17010.5
49069000 0.65 0.65 0 -6027.1 0 16887.1 16887.1
49070000 0.65 0.65 0 -6046.92 0 16817.5 16817.5
49071000 0.65 0.65 0 -6044.82 0 16825.9 16825.9
49072000 0.65 0.65 0 -6109.25 0 16853.7 16853.7
49073000 0.65 0.65 0 -6020.97 0 16896.7 16896.7
49074000 0.65 0.65 0 -6044.81 0 16463.8 16463.8
49075000 0.65 0.65 0 -6076.44 0 16818.4 16818.4
49076000 0.65 0.65 0 -6033.91 0 16433.3 16433.3
49077000 0.65 0.65 0 -6022.92 0 16403.4 16403.4
49078000 0.65 0.65 0 -6090.21 0 16602.4 16602.4
