# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
0 1 0.01 0 294.679 807.167 16901.1 -6049.71 0.433738 -0.448022
1000 1 0.01 0 302.184 491.596 16687.6 -6120.54 0.448025 -0.462102
2000 1 0.01 0 284.541 466.222 16670.6 -6113.07 0.395738 -0.408137
3000 1 0.01 0 308.382 -233.165 16969.5 -6078.22 0.432664 -0.446552
4000 1 0.01 0 301.984 -650.443 16762.4 -6051.19 0.433215 -0.447556
5000 1 0.01 0 297.172 -660.445 16923.3 -6080.9 0.442369 -0.456363
6000 1 0.01 0 302.336 111.738 16824.5 -6020.09 0.471242 -0.485901
7000 1 0.01 0 294.664 -793.902 16920 -6012.69 0.416419 -0.430497
8000 1 0.01 0 297.324 594.675 16884.5 -6028.28 0.456926 -0.471764
9000 1 0.01 0 296.61 -247.186 16768.6 -6065.84 0.474085 -0.488806
10000 1 0.01 0 307.738 -23.1272 16812.6 -6147.12 0.407275 -0.420406
11000 1 0.01 0 310.192 638.986 16666.5 -6077.15 0.434704 -0.448661
12000 1 0.01 0 299.15 -323.526 16763.4 -6135.48 0.418371 -0.431885
13000 1 0.01 0 307.537 193.326 16774.1 -6086.68 0.393605 -0.406083
14000 1 0.01 0 306.267 499.033 16705.7 -6104.04 0.399608 -0.412595
15000 1 0.01 0 287.227 89.6168 16663.1 -6065.03 0.419085 -0.432989
16000 1 0.01 0 292.149 1465.64 16157.3 -6151.89 0.31764 -0.329151
17000 1 0.01 0 289.537 313.835 16693.2 -6074.13 0.50347 -0.518985
18000 1 0.01 0 305.32 -656.684 17000.2 -6149.75 0.457701 -0.471946
19000 1 0.01 0 299.919 -895.534 17033.2 -6117.98 0.438321 -0.452966
20000 1 0.01 0 304.064 -62.4267 16929.4 -6138.5 0.45881 -0.473315
21000 1 0.01 0 302.729 -560.023 16951.6 -6042.88 0.434872 -0.448719
22000 1 0.01 0 293.107 -287.687 16688.2 -6131.2 0.392581 -0.404742
23000 1 0.01 0 297.495 155.82 16619.4 -6092.5 0.40185 -0.414941
24000 1 0.01 0 301.898 249.042 17064 -6053.94 0.394814 -0.407716
25000 1 0.01 0 300.638 -416.188 16675.7 -6137.46 0.437507 -0.451403
26000 1 0.01 0 314.668 -164.974 16660.8 -6118.38 0.482306 -0.497154
27000 1 0.01 0 287.174 808.13 16606.1 -6093.63 0.359973 -0.372939
28000 1 0.01 0 296.708 952.967 16437.6 -6133.82 0.418145 -0.431578
29000 1 0.01 0 309.166 299.686 16731.1 -6064.39 0.345633 -0.358679
30000 1 0.01 0 300.669 -20.0931 16889.5 -6068.97 0.408444 -0.422282
31000 1 0.01 0 310.92 -203.126 16781.6 -6056.83 0.350372 -0.363003
32000 1 0.01 0 302.984 -833.942 16839.8 -6084.64 0.456877 -0.471025
33000 1 0.01 0 306.652 310.671 16602.2 -6079.13 0.325748 -0.338502
34000 1 0.01 0 296.944 391.556 16778 -6044.55 0.347686 -0.360279
35000 1 0.01 0 294.106 1029.8 16421.4 -6087.91 0.443865 -0.457986
36000 1 0.01 0 301.816 188.818 16602.2 -6027.16 0.483652 -0.498592
37000 1 0.01 0 305.874 252.909 16654.6 -6122.64 0.428486 -0.442129
38000 1 0.01 0 304.858 563.023 16473.7 -6129.31 0.409322 -0.422499
39000 1 0.01 0 300.281 278.013 16722.5 -6106.15 0.462187 -0.476849
40000 1 0.01 0 299.924 -755.147 16638.8 -6071.49 0.427468 -0.441632
41000 1 0.01 0 298.822 -122.963 16584.5 -6055.7 0.408613 -0.422036
42000 1 0.01 0 291.77 1048.22 16385.2 -6048.35 0.479964 -0.495389
43000 1 0.01 0 298.164 -597.407 17067.4 -6093.84 0.421781 -0.435805
44000 1 0.01 0 291.86 844.599 16695 -6032.05 0.41061 -0.424567
45000 1 0.01 0 299.231 -156.887 17065.6 -6015.66 0.416894 -0.430693
46000 1 0.01 0 308.149 -206.995 17004.1 -6103.74 0.421289 -0.434861
47000 1 0.01 0 291.694 125.963 16657.9 -6138.88 0.448909 -0.462959
48000 1 0.01 0 310.005 695.695 16603 -6074.6 0.407553 -0.421186
49000 1 0.01 0 296.497 424.445 16693.5 -6058.86 0.385677 -0.398093
50000 1 0.01 0 308.624 -309.517 17156 -6017.61 0.393754 -0.40596
51000 1 0.01 0 307.126 -441.935 17089.8 -6145.21 0.412551 -0.425329
52000 1 0.01 0 309.594 -571.598 16862.4 -6058.77 0.331995 -0.343762
53000 1 0.01 0 299.597 -939.954 16861 -6009.71 0.439839 -0.45428
54000 1 0.01 0 295.751 -239.902 16833.3 -6114.89 0.427981 -0.441579
55000 1 0.01 0 295.378 -27.6787 16556.4 -6131.09 0.444842 -0.459046
56000 1 0.01 0 313.326 -139.703 16757.2 -6080.16 0.431431 -0.444825
57000 1 0.01 0 294.912 -787.565 16912.3 -6084.03 0.392722 -0.406294
58000 1 0.01 0 301.518 -749.531 16932.6 -6100.11 0.481684 -0.496914
59000 1 0.01 0 298.471 -241.368 16720.9 -6157.85 0.465453 -0.479858
60000 1 0.01 0 294.941 -204.061 16847.6 -6016.63 0.4528 -0.467232
61000 1 0.01 0 306.202 -658.469 16522.7 -6053.27 0.428511 -0.442843
62000 1 0.01 0 287.794 -528.951 16579.1 -6027.73 0.448719 -0.463295
63000 1 0.01 0 293.881 -488.114 16706.4 -6077.04 0.432124 -0.446214
64000 1 0.01 0 299.46 576.52 16546 -6070.97 0.384049 -0.397311
65000 1 0.01 0 307.972 53.016 16799 -6063.65 0.312186 -0.323724
66000 1 0.01 0 296.581 -824.101 16929.3 -6096.43 0.39411 -0.406598
67000 1 0.01 0 302.301 490.499 16768.5 -6080.72 0.40359 -0.416421
68000 1 0.01 0 302.085 906.069 16531.2 -6143.04 0.366745 -0.379253
69000 1 0.01 0 300.969 -698.099 16811.8 -6094.49 0.35748 -0.370625
70000 1 0.01 0 297.682 -127.904 16719.7 -6083.78 0.410058 -0.423809
71000 1 0.01 0 309.619 230.692 16634.4 -6176.23 0.408344 -0.421474
72000 1 0.01 0 297.11 59.5078 16581.5 -6089.52 0.366357 -0.379238
73000 1 0.01 0 282.47 295.768 16518.4 -6054.47 0.425934 -0.439646
74000 1 0.01 0 286.652 231.809 16680.3 -6046.82 0.454696 -0.46872
75000 1 0.01 0 305.493 368.689 16477.4 -6144.15 0.439844 -0.453875
76000 1 0.01 0 293.826 -335.951 16813.6 -6114.32 0.47679 -0.491549
77000 1 0.01 0 304.437 139.761 17006.1 -6086.46 0.356877 -0.369342
78000 1 0.01 0 313.159 -316.546 16925.7 -6042.96 0.435709 -0.449382
79000 1 0.01 0 315.833 -30.7992 16656 -6054.99 0.435356 -0.450155
80000 1 0.01 0 313.539 187.827 16439.2 -6092.74 0.326441 -0.338759
81000 1 0.01 0 312.135 -286.253 16570.7 -6039.89 0.429628 -0.444062
82000 1 0.01 0 299.841 -244.857 17042.2 -6045.06 0.38301 -0.395529
