# Time-averaged data for fix FEPout011
# TimeStep v_param v_param011 v_param2 v_pe c_FEP011[1] c_FEP011[2] c_FEP011[3]
49000000 0.65 0.3 0 -6168.61 1.76869 866.24 16830.7
49001000 0.65 0.3 0 -6061.29 -2.47233 1.06308e+06 16807.9
49002000 0.65 0.3 0 -6069.34 0.586576 6253.38 16727.3
49003000 0.65 0.3 0 -6005.36 0.396069 8712.27 16930.2
49004000 0.65 0.3 0 -6107.83 0.142514 13052.1 16576.7
49005000 0.65 0.3 0 -6091.23 1.32851 1808.98 16797.1
49006000 0.65 0.3 0 -6093.75 1.39263 1626.35 16816.1
49007000 0.65 0.3 0 -6103.26 0.580975 6345.62 16815.3
49008000 0.65 0.3 0 -6081.8 1.06625 2822.45 16879.9
49009000 0.65 0.3 0 -6058.04 1.51048 1307.9 16479.2
49010000 0.65 0.3 0 -6115.74 1.16917 2327.32 16541.5
49011000 0.65 0.3 0 -6027.47 -0.646193 49279.4 16669.6
49012000 0.65 0.3 0 -6120.05 -0.880991 72050 16437.9
49013000 0.65 0.3 0 -6122.85 0.287612 10236.9 16584.1
49014000 0.65 0.3 0 -6090.92 -0.282836 26903.3 16740.3
49015000 0.65 0.3 0 -6106.17 -0.296139 27477.7 16720.5
49016000 0.65 0.3 0 -6090.62 -0.00693674 17040.4 16843.3
49017000 0.65 0.3 0 -6032.12 -0.493948 38709.3 16903.7
49018000 0.65 0.3 0 -6072.99 0.653805 5580.67 16709.9
49019000 0.65 0.3 0 -6053.07 0.313014 9975.09 16863.3
49020000 0.65 0.3 0 -6113.51 0.140306 13142 16629.2
49021000 0.65 0.3 0 -6118.51 1.48075 1386.59 16620.7
49022000 0.65 0.3 0 -6094.83 0.673369 5407.76 16732.3
49023000 0.65 0.3 0 -6056.67 0.817832 4262.74 16806.1
49024000 0.65 0.3 0 -6080.87 0.230083 11232.1 16522.3
49025000 0.65 0.3 0 -6114.29 1.83049 792.665 17083.3
49026000 0.65 0.3 0 -6061.78 1.74044 904.845 16767.1
49027000 0.65 0.3 0 -6083.87 1.03348 2962.58 16770.3
49028000 0.65 0.3 0 -6075.82 0.696311 5181.11 16660
49029000 0.65 0.3 0 -6060.22 -0.695295 54428.6 16955.7
49030000 0.65 0.3 0 -6041.55 0.201168 11859.1 16618.8
49031000 0.65 0.3 0 -6097.97 0.0240177 15936.7 16591.9
49032000 0.65 0.3 0 -6112.43 1.25898 2014.46 16645.9
49033000 0.65 0.3 0 -6055.14 0.424334 8140.6 16587.4
49034000 0.65 0.3 0 -6120.94 1.18359 2288.56 16664.5
49035000 0.65 0.3 0 -6072.02 1.28281 1928.24 16583.2
49036000 0.65 0.3 0 -6113.88 1.26774 2015.25 16898.9
49037000 0.65 0.3 0 -6089.62 0.308654 10043.5 16855.2
49038000 0.65 0.3 0 -6026.34 0.980412 3200 16571.6
49039000 0.65 0.3 0 -6067.01 -0.337393 29448.8 16721.8
49040000 0.65 0.3 0 -6073.5 0.312215 9880.15 16680.4
49041000 0.65 0.3 0 -6053.82 -0.918385 78437.6 16807.2
49042000 0.65 0.3 0 -6091.62 0.989541 3166.23 16649.8
49043000 0.65 0.3 0 -6034.22 -0.590393 44915.3 16684.1
