# Time-averaged data for fix FEPout004
# TimeStep v_param v_param004 v_param2 v_pe c_FEP004[1] c_FEP004[2] c_FEP004[3]
35000000 0.75 0.8 0 -6093.76 -0.593401 44981.4 16624.5
35001000 0.75 0.8 0 -6081.83 -0.174908 22145 16514.2
35002000 0.75 0.8 0 -6114.21 -0.40622 32535.2 16459.9
35003000 0.75 0.8 0 -6096.2 -0.0715477 18584.9 16483.1
35004000 0.75 0.8 0 -6067.45 -0.213298 23632.3 16524.2
35005000 0.75 0.8 0 -6116.33 -0.52878 40743.9 16782.4
35006000 0.75 0.8 0 -6095.12 0.0140464 15949.2 16329.5
35007000 0.75 0.8 0 -6145.92 -0.113153 20078 16607
35008000 0.75 0.8 0 -6043.84 -0.958383 82240.2 16478.5
35009000 0.75 0.8 0 -6068.09 -0.0557747 18181.8 16558
35010000 0.75 0.8 0 -6086.43 -0.866525 72374.8 16917.6
35011000 0.75 0.8 0 -6066.12 -0.593729 45572.4 16833.7
35012000 0.75 0.8 0 -6100.43 -0.668277 51655.7 16838
35013000 0.75 0.8 0 -6062.12 -0.742654 57762.2 16620.1
35014000 0.75 0.8 0 -6090.36 -0.541292 41756.8 16842.4
35015000 0.75 0.8 0 -6100.38 -0.81064 65615 16844.8
35016000 0.75 0.8 0 -6058.57 -0.681819 52388 16693.1
35017000 0.75 0.8 0 -6105.18 -0.440123 34817.6 16640.9
35018000 0.75 0.8 0 -6100.62 -0.759378 60068.2 16805.4
35019000 0.75 0.8 0 -6135.98 -0.823873 66770.2 16765
35020000 0.75 0.8 0 -6053.56 -0.752703 58583.1 16574.5
35021000 0.75 0.8 0 -6173.56 -0.771156 60717.9 16654.9
35022000 0.75 0.8 0 -6112.24 0.120504 13553.8 16590
35023000 0.75 0.8 0 -6080.17 -0.510775 39374.1 16715.5
35024000 0.75 0.8 0 -6028.59 -0.442967 35122.5 16706.7
35025000 0.75 0.8 0 -6067.46 0.0501838 15439.8 16795.8
35026000 0.75 0.8 0 -6080.75 -0.97021 85251.7 16746.4
35027000 0.75 0.8 0 -6072.73 -0.922619 79302.7 16872.3
35028000 0.75 0.8 0 -6116.39 -0.656955 50802.8 16877.4
35029000 0.75 0.8 0 -6037.34 -0.791054 62906.3 16688.8
35030000 0.75 0.8 0 -6084.82 -0.628881 47748.3 16627.5
35031000 0.75 0.8 0 -6073.9 -0.46536 36608.8 16771.7
35032000 0.75 0.8 0 -6077.7 -0.497048 37813.7 16427
