# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
67000 1 0.692206 -0.477601 125.947 -5.68875 0.0253466 0 0 -560.338 -19.9407
68000 1 0.706531 -0.0303088 126.02 -5.60733 0.0293806 0 0 -550.505 -21.4718
69000 1 0.662335 0.0751489 122.784 -5.75709 0.0298884 0 0 -566.655 -20.5979
70000 1 0.668088 0.348593 123.186 -5.68909 0.285963 0 0 -558.712 -21.8609
71000 1 0.634956 0.373191 122.683 -5.7552 0.473077 0 0 -567.584 -19.9203
72000 1 0.652895 0.170953 125.429 -5.6238 0.808436 0 0 -553.771 -20.6651
73000 1 0.656312 -0.744282 129.371 -5.56856 0.00348627 0 0 -549.187 -18.8102
74000 1 0.721317 -0.475796 125.579 -5.73052 0.458353 0 0 -560.912 -24.0599
75000 1 0.64029 -0.31452 124.381 -5.7485 0.218142 0 0 -564.945 -21.6195
76000 1 0.682868 0.0259981 121.755 -5.83523 0.190305 0 0 -571.433 -23.9511
77000 1 0.806404 -0.332279 125.923 -5.68851 0.258556 0 0 -562.157 -18.33
78000 1 0.717145 -0.150362 124.355 -5.76119 0.272121 0 0 -566.176 -21.7366
79000 1 0.700108 0.752605 123.943 -5.59201 0.803378 0 0 -549.268 -21.9203
80000 1 0.692964 0.618037 124.341 -5.57958 0.226398 0 0 -548.841 -20.5031
81000 1 0.787593 0.364122 124.392 -5.6222 0.102235 0 0 -549.94 -23.6263
82000 1 0.671513 -0.352925 125.355 -5.70592 0.027733 0 0 -561.265 -20.7674
83000 1 0.562826 -0.796305 125.688 -5.70402 0.429607 0 0 -560.684 -21.5557
84000 1 0.642271 -0.634721 123.897 -5.83714 0.00711149 0 0 -573.592 -21.8037
85000 1 0.690505 0.14141 127.951 -5.4327 0.263089 0 0 -533.874 -20.5249
86000 1 0.733914 0.135871 120.807 -5.89713 0.0929079 0 0 -578.117 -23.4823
87000 1 0.653985 -0.346077 126.65 -5.60515 0.000848401 0 0 -552.357 -19.3698
88000 1 0.749536 0.257954 120.727 -5.88548 0.20347 0 0 -579.846 -20.6763
89000 1 0.587591 0.496986 128.782 -5.32032 0.537156 0 0 -525.55 -17.6596
90000 1 0.613687 -0.430585 122.821 -5.83957 0.136441 0 0 -574.371 -21.4013
91000 1 0.697098 -0.699165 126.151 -5.66903 0.750813 0 0 -556.991 -22.0012
92000 1 0.621348 -0.185379 124.088 -5.77057 0.411986 0 0 -568.351 -20.6582
93000 1 0.728073 -0.114532 127.732 -5.47872 0.222234 0 0 -539.075 -19.977
94000 1 0.836292 0.226397 121.536 -5.78671 1.00116 0 0 -568.808 -22.437
95000 1 0.759173 -0.141573 127.711 -5.56878 0.147826 0 0 -548.556 -19.6071
96000 1 0.553547 0.834611 120.096 -5.75846 0.0346668 0 0 -563.746 -23.6519
97000 1 0.727498 -0.160426 123.757 -5.80523 0.432054 0 0 -571.496 -21.0699
98000 1 0.708233 0.327461 118.875 -6.00208 0.014964 0 0 -587.411 -24.8165
99000 1 0.717477 0.0686769 127.128 -5.49806 0.165676 0 0 -541.672 -19.2959
100000 1 0.683717 0.114052 123.11 -5.76113 0.207315 0 0 -564.142 -23.7006
101000 1 0.776187 0.344847 129.053 -5.3416 0.212162 0 0 -525.373 -19.6823
102000 1 0.649725 0.414585 122.075 -5.76803 0.10399 0 0 -567.784 -20.659
103000 1 0.73544 -0.74775 126.874 -5.69055 0.130185 0 0 -557.835 -22.7312
104000 1 0.743086 0.376496 121.101 -5.85244 0.00690579 0 0 -573.095 -23.8615
105000 1 0.780127 0.6047 120.04 -5.85966 0.0409511 0 0 -574.695 -23.0315
106000 1 0.679931 0.164228 124.713 -5.64055 0.282127 0 0 -553.704 -21.9148
107000 1 0.766389 -0.290857 126.89 -5.62113 0.00767397 0 0 -550.923 -22.4399
108000 1 0.64922 -0.0533517 127.144 -5.55977 0.515729 0 0 -545.75 -21.8627
109000 1 0.642638 0.51843 120.932 -5.79277 0.416557 0 0 -569.295 -21.9839
110000 1 0.726334 -0.123619 128.133 -5.48532 0.0484123 0 0 -540.68 -18.8706
111000 1 0.707527 -0.256265 127.219 -5.5996 0.435542 0 0 -550.729 -20.8651
112000 1 0.655937 -0.127714 122.93 -5.81773 0.00287462 0 0 -571.8 -21.6116
113000 1 0.589765 0.558859 126.604 -5.44756 0.00519757 0 0 -532.833 -22.8234
114000 1 0.646488 -0.925925 126.805 -5.64859 0.29514 0 0 -552.679 -23.7723
115000 1 0.564682 -0.246594 129.129 -5.44705 0.0269937 0 0 -535.323 -20.3033
116000 1 0.687279 -0.327947 126.546 -5.59834 0.0419402 0 0 -551.096 -19.9766
117000 1 0.718691 -0.590712 124.281 -5.81554 0.0782007 0 0 -570.356 -22.9075
118000 1 0.673421 0.0329007 128.599 -5.44397 0.00030786 0 0 -537.147 -18.1376
119000 1 0.664675 0.524379 121.94 -5.7437 0.234845 0 0 -563.127 -22.9653
120000 1 0.654798 -0.927353 131.141 -5.42729 0.391554 0 0 -534.038 -19.9375
121000 1 0.67282 -0.139517 124.01 -5.72466 0.0857705 0 0 -563.408 -20.5932
122000 1 0.644735 0.975035 121.392 -5.69886 0.0120601 0 0 -559.601 -21.6948
123000 1 0.772942 0.0117076 125.994 -5.62464 0.0511414 0 0 -555.512 -18.253
