# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
30000000 2 0.758429 -0.64617 124.462 -5.97851 0.377155 0 0 -563.098 -47.087
30001000 2 0.649817 -0.284854 124.077 -5.96185 0.0838392 0 0 -560.756 -47.4365
30002000 2 0.63417 -0.951243 124.543 -6.08602 0.111236 0 0 -572.279 -48.6055
30003000 2 0.655081 -0.4818 125.113 -6.00792 0.003879 0 0 -564.024 -48.7874
30004000 2 0.658545 0.0171945 121.526 -6.02973 0.0113093 0 0 -569.804 -45.2399
30005000 2 0.808442 -0.119083 125.959 -5.86685 0.103955 0 0 -553.39 -45.1328
30006000 2 0.65866 0.222888 121.914 -5.99537 0.0648201 0 0 -565.096 -46.4974
30007000 2 0.705405 0.0345842 123.292 -5.97669 0.00151697 0 0 -562.083 -47.5408
30008000 2 0.676735 -1.03576 130.935 -5.75305 0.40685 0 0 -540.024 -47.1933
30009000 2 0.691534 -0.210942 122.427 -6.06981 0.139654 0 0 -571.163 -48.0974
30010000 2 0.683129 -0.307403 123.151 -6.09597 2.46206 0 0 -575.147 -49.1039
30011000 2 0.774295 0.0636979 121.486 -6.10099 0.0142304 0 0 -574.349 -47.9663
30012000 2 0.68927 -0.197921 119.349 -6.27602 0.00170213 0 0 -589.632 -50.5236
30013000 2 0.758409 -0.056711 126.808 -5.78997 0.144337 0 0 -546.513 -44.2086
30014000 2 0.689168 -0.0920539 121.652 -6.01589 0.788362 0 0 -567.597 -46.8115
30015000 2 0.74353 -0.108108 122.497 -6.03033 0.0834017 0 0 -568.638 -46.5386
30016000 2 0.628083 0.180681 126.87 -5.72638 0.0428456 0 0 -540.951 -43.1828
30017000 2 0.610074 0.654382 119.933 -6.07023 0.289136 0 0 -569.606 -49.8462
30018000 2 0.756644 0.0447566 123.419 -5.95342 0.175655 0 0 -558.808 -48.6165
30019000 2 0.682698 0.261971 124.239 -5.86821 0.00437031 0 0 -551.422 -47.1403
30020000 2 0.685013 -0.181737 121.017 -6.09791 0.690601 0 0 -571.519 -51.1582
30021000 2 0.729277 0.405091 125.027 -5.82503 0.810496 0 0 -548.182 -46.7813
30022000 2 0.668448 0.72092 116.643 -6.33925 0.107553 0 0 -594.265 -52.4468
30023000 2 0.811078 -0.132496 123.818 -6.01458 1.28151 0 0 -566.559 -48.2096
30024000 2 0.795346 0.603673 120.501 -6.07083 0.462789 0 0 -570.177 -49.5106
30025000 2 0.681772 0.381495 121.953 -6.00238 0.0300396 0 0 -565.777 -46.4961
30026000 2 0.660479 -0.535735 124.596 -5.97682 0.0156055 0 0 -565.27 -44.3809
30027000 2 0.715363 -0.583383 124.561 -6.0619 0.0657796 0 0 -568.197 -50.1825
30028000 2 0.64525 -0.124487 121.664 -6.10859 0.347345 0 0 -572.044 -51.3792
30029000 2 0.714974 0.663728 119.801 -6.09859 0.652089 0 0 -572.842 -49.8659
30030000 2 0.769998 0.404465 120.221 -6.13083 0.123209 0 0 -574.026 -51.4425
30031000 2 0.737487 0.560595 122.307 -5.92257 0.127757 0 0 -557.344 -46.8861
30032000 2 0.73018 1.15279 118.016 -6.12241 0.0403189 0 0 -578.078 -46.4481
30033000 2 0.677432 0.339118 120.773 -6.05691 0.43511 0 0 -575.324 -42.9162
30034000 2 0.698901 -0.771008 124.163 -6.01767 0.219626 0 0 -567.678 -46.3438
30035000 2 0.645654 -1.00425 124.843 -6.0428 0.269974 0 0 -567.597 -49.0392
30036000 2 0.682602 -0.331576 123.501 -6.02537 0.514912 0 0 -568.709 -46.394
30037000 2 0.673667 0.0732878 122.909 -5.97958 0.0180401 0 0 -560.251 -49.6848
30038000 2 0.80831 0.0739353 122.035 -6.11806 0.542436 0 0 -575.417 -49.1673
30039000 2 0.692517 0.436602 126.007 -5.76755 0.186318 0 0 -540.639 -47.8373
30040000 2 0.683574 0.210583 121.34 -6.05114 0.225428 0 0 -574.898 -42.5436
30041000 2 0.694709 0.138504 126.68 -5.78864 0.241712 0 0 -546.161 -44.522
30042000 2 0.713452 0.199006 119.963 -6.21276 0.0077351 0 0 -585.203 -48.5065
30043000 2 0.710316 -0.195715 127.5 -5.78556 1.4551 0 0 -545.605 -45.9768
30044000 2 0.676066 0.427184 117.566 -6.19989 0.649129 0 0 -583.077 -49.9616
30045000 2 0.733438 -0.826158 126.378 -5.88794 0.993985 0 0 -555.964 -45.6003
30046000 2 0.712792 0.453256 119.725 -6.16208 0.123379 0 0 -576.813 -51.843
30047000 2 0.720356 -0.483302 122.608 -6.06876 0.0627877 0 0 -571.665 -47.412
30048000 2 0.635312 0.135941 123.841 -5.90366 0.171609 0 0 -557.992 -44.3522
30049000 2 0.60798 -0.668021 125.674 -5.9027 0.830353 0 0 -556.202 -46.7033
30050000 2 0.667503 -0.33617 123.572 -6.06064 1.77472 0 0 -572.692 -47.2683
30051000 2 0.7069 -0.175553 125.654 -5.87961 0.37462 0 0 -556.517 -43.5776
30052000 2 0.736934 0.266867 117.299 -6.36243 0.0178587 0 0 -595.574 -53.4114
30053000 2 0.624921 0.0891256 121.383 -6.08268 0.467876 0 0 -570.658 -50.2425
30054000 2 0.629252 0.0472694 123.07 -5.98224 0.824865 0 0 -563.484 -47.5299
30055000 2 0.691185 0.713629 117.01 -6.22931 0.479773 0 0 -586.278 -49.5916
30056000 2 0.767089 -0.185433 126.347 -5.86949 0.0323208 0 0 -548.039 -50.6819
30057000 2 0.68152 -0.111937 118.781 -6.25211 0.1513 0 0 -591.809 -46.0575
30058000 2 0.663274 -0.205945 124.122 -5.96593 0.0409431 0 0 -559.785 -48.7809
30059000 2 0.735448 -0.522562 122.72 -6.06844 0.27728 0 0 -569.1 -50.1589
30060000 2 0.680688 0.725818 119.001 -6.09819 0.00301114 0 0 -575.428 -46.5906
30061000 2 0.746251 -0.0943789 129.32 -5.69965 0.226647 0 0 -537.087 -44.5035
30062000 2 0.655457 -0.293433 120.947 -6.17461 0.226068 0 0 -577.97 -52.0664
30063000 2 0.711999 0.155392 127.515 -5.71297 0.128518 0 0 -537.587 -45.2643
30064000 2 0.681758 0.418454 119.881 -6.10987 0.928112 0 0 -573.262 -50.8732
30065000 2 0.702279 -0.235693 127.01 -5.82249 1.09884 0 0 -545.762 -49.2315
30066000 2 0.673153 -0.332541 123.876 -6.01481 0.710518 0 0 -568.306 -45.9157
30067000 2 0.624437 0.058083 121.627 -6.05837 0.614438 0 0 -567.236 -51.3322
30068000 2 0.650071 0.10237 120.447 -6.12017 0.0721823 0 0 -574.352 -49.977
30069000 2 0.860814 -0.205058 124.358 -6.01038 2.64256 0 0 -566.497 -49.2048
30070000 2 0.738105 0.166388 119.4 -6.20877 0.294665 0 0 -581.661 -51.9277
30071000 2 0.65191 0.028438 121.675 -6.00864 0.506142 0 0 -565.768 -47.6194
30072000 2 0.623862 -0.518248 120.891 -6.22941 0.118732 0 0 -587.726 -47.7922
30073000 2 0.704585 -0.950919 123.48 -6.12438 0.268627 0 0 -577.199 -47.7565
30074000 2 0.604041 0.0322032 124.024 -5.9172 0.230534 0 0 -557.325 -46.4599
30075000 2 0.645934 0.257935 120.821 -6.10225 0.00149652 0 0 -569.553 -52.8779
30076000 2 0.747599 -0.0600828 121.094 -6.17806 0.000668279 0 0 -579.608 -50.5547
30077000 2 0.697053 -0.084379 126.817 -5.8397 0.214951 0 0 -549.484 -46.3803
30078000 2 0.608948 -0.887873 124.713 -6.05157 0.0131161 0 0 -570.153 -47.1207
30079000 2 0.643637 -0.0514776 122.906 -6.06775 0.00719822 0 0 -565.618 -53.2997
30080000 2 0.658916 -0.78232 122.583 -6.1255 0.0403521 0 0 -577.925 -46.9157
30081000 2 0.702515 0.161656 126.111 -5.79867 0.0200129 0 0 -548.158 -43.3265
30082000 2 0.83211 -0.518707 122.765 -6.11188 0.948419 0 0 -573.955 -50.4057
30083000 2 0.758999 0.726921 121.27 -6.0129 0.0222044 0 0 -562.905 -50.4326
30084000 2 0.794386 0.0947234 121.434 -6.1064 0.0988456 0 0 -575.523 -47.4291
30085000 2 0.648169 0.858956 122.939 -5.82981 0.954682 0 0 -546.58 -49.0154
30086000 2 0.647421 0.291552 120.772 -6.0704 0.037907 0 0 -567.083 -52.1352
30087000 2 0.756796 0.767653 127.187 -5.58964 0.246439 0 0 -526.193 -44.1966
30088000 2 0.70156 -0.0338718 118.975 -6.29705 0.0413173 0 0 -594.058 -48.282
30089000 2 0.703377 -0.0298817 125.807 -5.84372 0.14808 0 0 -551.198 -45.0096
30090000 2 0.719308 0.234113 120.286 -6.08442 0.0489346 0 0 -571.643 -49.0164
30091000 2 0.720279 0.447218 118.618 -6.22239 0.0272841 0 0 -582.502 -52.209
30092000 2 0.651499 -0.0255215 123.766 -6.01329 0.0873607 0 0 -562.82 -50.6235
30093000 2 0.636849 -0.442943 124.843 -5.94215 0.58054 0 0 -561.643 -45.037
30094000 2 0.644406 0.372483 119.662 -6.08616 1.2925 0 0 -574.298 -47.7831
30095000 2 0.806278 0.605482 123.635 -5.8922 0.0686215 0 0 -550.687 -50.3856
30096000 2 0.756951 -0.520597 121.27 -6.21374 0.0329328 0 0 -584.886 -48.9485
30097000 2 0.611631 -0.170535 124.794 -5.89378 0.00388485 0 0 -555.427 -45.7426
30098000 2 0.725589 -0.701493 123.966 -6.07993 0.180963 0 0 -572.925 -47.4089
30099000 2 0.704728 -0.509719 122.363 -6.12485 0.0768364 0 0 -577.104 -47.7074
30100000 2 0.726357 -0.312409 123.863 -6.00814 0.141929 0 0 -564.063 -48.9092
30101000 2 0.628629 0.0901736 117.785 -6.33287 0.064004 0 0 -594.655 -51.3622
30102000 2 0.749096 -0.211816 125.977 -5.86228 0.00105431 0 0 -549.881 -48.0722
30103000 2 0.714563 -0.182388 122.349 -6.06337 0.135035 0 0 -569.179 -49.4195
30104000 2 0.636952 0.776572 120.34 -5.97136 0.459425 0 0 -567.119 -42.4197
30105000 2 0.676989 0.251006 121.86 -5.96737 0.484002 0 0 -564.434 -44.7225
30106000 2 0.737221 -0.0516857 125.521 -5.87451 0.324188 0 0 -558.089 -41.4349
30107000 2 0.652508 -0.171071 120.579 -6.18591 0.402231 0 0 -581.718 -49.6466
30108000 2 0.58002 0.0246339 121.814 -6.12093 0.0928305 0 0 -579.372 -45.0556
30109000 2 0.721226 -0.0305915 126.186 -5.82021 0.000516551 0 0 -546.83 -46.8316
30110000 2 0.665904 0.375531 120.886 -6.07152 0.0663762 0 0 -572.213 -47.1481
30111000 2 0.711153 0.593454 122.497 -5.95742 1.0664 0 0 -564.018 -44.7047
30112000 2 0.726302 1.03496 116.998 -6.20859 0.00517291 0 0 -583.633 -49.6482
30113000 2 0.623932 0.362421 122.162 -5.97189 0.255606 0 0 -565.919 -43.4692
30114000 2 0.676232 0.141398 121.127 -6.13237 0.0128706 0 0 -576.614 -48.9
30115000 2 0.772833 -0.0048861 127.895 -5.73233 0.295135 0 0 -537.01 -47.9828
30116000 2 0.659149 -0.0668177 121.379 -6.08004 0.207538 0 0 -573.353 -47.0189
30117000 2 0.597443 -0.264429 125.734 -5.93573 0.557698 0 0 -559.694 -46.3087
30118000 2 0.658743 0.263323 122.756 -5.95859 0.029331 0 0 -566.141 -41.665
30119000 2 0.758857 0.158497 121.965 -6.04896 0.0515882 0 0 -567.541 -49.5042
30120000 2 0.702092 0.412276 124.208 -5.83267 0.144831 0 0 -550.895 -44.1816
