# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
3000000 1.1 0.687418 -0.802724 130.956 -5.51859 0.141811 0 0 -538.407 -24.6314
3001000 1.1 0.619946 -0.408013 122.212 -5.85869 0.134683 0 0 -574.764 -22.9566
3002000 1.1 0.864298 -0.278708 125.144 -5.76602 0.0854105 0 0 -566.202 -22.0175
3003000 1.1 0.739985 -0.106112 121.156 -5.93593 0.00130154 0 0 -580.629 -24.837
3004000 1.1 0.777613 -0.706961 123.355 -5.90811 1.10695 0 0 -575.81 -27.9239
3005000 1.1 0.705406 -0.468688 124.276 -5.83837 0.0143687 0 0 -572.421 -23.1068
3006000 1.1 0.67877 -0.110877 123.641 -5.7592 0.0761247 0 0 -562.363 -25.1519
3007000 1.1 0.667491 0.241326 125.172 -5.53933 1.25368 0 0 -542.408 -23.8577
3008000 1.1 0.769804 0.0349074 121.105 -5.89444 0.0360016 0 0 -577.286 -23.983
3009000 1.1 0.798838 0.531033 126.933 -5.57737 2.43897e-05 0 0 -544.229 -24.6632
3010000 1.1 0.678741 0.819514 118.93 -5.86246 0.000459015 0 0 -574.038 -23.9334
3011000 1.1 0.702067 0.164204 124.089 -5.73325 1.46511e-06 0 0 -560.962 -23.8295
3012000 1.1 0.683035 -0.558695 128.341 -5.62828 0.0659164 0 0 -550.349 -23.8015
3013000 1.1 0.642753 -0.341603 125.598 -5.68944 0.0333876 0 0 -557.725 -22.631
3014000 1.1 0.673343 -0.1388 121.928 -5.891 0.131276 0 0 -575.221 -25.7923
3015000 1.1 0.739287 -0.656742 133.347 -5.39172 0.0709942 0 0 -526.344 -23.6825
3016000 1.1 0.755887 -0.0540968 122.031 -5.92803 0.0642006 0 0 -581.531 -23.1925
3017000 1.1 0.682663 -0.0118501 126.009 -5.66851 1.95809 0 0 -555.022 -25.124
3018000 1.1 0.698758 -0.695617 130.492 -5.49851 0.00447848 0 0 -538.339 -22.514
3019000 1.1 0.656711 -0.385268 123.016 -5.81144 1.57599 0 0 -569.66 -24.6831
3020000 1.1 0.721104 0.140205 128.498 -5.44851 0.0968259 0 0 -532.606 -23.2394
3021000 1.1 0.674061 0.318922 123.01 -5.73989 0.0151712 0 0 -560.128 -25.3559
3022000 1.1 0.675889 -0.279176 125.692 -5.65526 0.209415 0 0 -554.443 -22.603
3023000 1.1 0.79331 -0.325187 124.652 -5.78001 0.012914 0 0 -566.734 -22.8404
3024000 1.1 0.790431 0.399049 122.062 -5.78228 0.860872 0 0 -564.51 -26.1438
3025000 1.1 0.744135 -0.162287 126.504 -5.57618 0.50927 0 0 -547.585 -21.6951
3026000 1.1 0.731749 0.181059 118.57 -6.0522 0.134051 0 0 -592.9 -24.5577
3027000 1.1 0.654341 -0.40003 128.432 -5.55807 0.091807 0 0 -542.241 -24.7745
3028000 1.1 0.765756 -0.103131 123.167 -5.82006 0.0305039 0 0 -568.825 -24.8512
3029000 1.1 0.705322 0.430007 123.791 -5.66547 0.841662 0 0 -554.121 -24.5981
3030000 1.1 0.660709 -0.0455219 126.154 -5.59845 0.03807 0 0 -548.95 -22.1295
3031000 1.1 0.583699 0.842414 120.494 -5.79558 0.18519 0 0 -565.355 -25.9791
3032000 1.1 0.742163 0.522549 124.725 -5.60953 0.000521031 0 0 -549.094 -23.079
3033000 1.1 0.664511 0.281813 121.208 -5.81645 0.00116464 0 0 -568.562 -24.7167
3034000 1.1 0.678581 -0.179584 122.3 -5.83637 0.641603 0 0 -573.958 -21.9935
3035000 1.1 0.6361 -0.539241 126.115 -5.69069 0.00844494 0 0 -555.822 -24.6367
3036000 1.1 0.721157 -0.440597 124.767 -5.76567 0.0155787 0 0 -563.42 -24.6938
