# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
6063000 1.2 0.788813 0.000616225 125.12 -5.71135 0.00926547 0 0 -554.564 -28.0033
6064000 1.2 0.759561 -0.580378 122.764 -5.94434 0.0709696 0 0 -580.714 -25.6789
6065000 1.2 0.661853 -0.646278 128.085 -5.60666 1.20867 0 0 -549.373 -23.7147
6066000 1.2 0.711577 -0.0292344 125.394 -5.67537 0.143738 0 0 -554.505 -24.5259
6067000 1.2 0.698186 0.140247 122.201 -5.82394 1.19967 0 0 -568.258 -26.9841
6068000 1.2 0.808366 -0.282466 125.253 -5.75395 0.485632 0 0 -561.526 -25.8625
6069000 1.2 0.72513 0.759963 120.385 -5.91143 0.505657 0 0 -575.199 -28.2727
6070000 1.2 0.735251 0.147437 121.903 -5.86471 0.00336389 0 0 -571.305 -26.8987
6071000 1.2 0.665447 -0.155772 125.272 -5.68006 0.0621025 0 0 -551.763 -27.6655
6072000 1.2 0.618072 -0.870242 129.945 -5.60687 0.182921 0 0 -547.363 -24.7205
6073000 1.2 0.663389 -0.257216 124.845 -5.74792 0.16642 0 0 -559.589 -26.8649
6074000 1.2 0.725893 0.126761 121.447 -5.90225 0.385645 0 0 -573.836 -28.579
6075000 1.2 0.755001 0.862233 120.818 -5.80709 0.573809 0 0 -565.035 -27.8624
6076000 1.2 0.726168 0.346123 125.631 -5.61135 2.60214e-05 0 0 -546.157 -26.2009
6077000 1.2 0.605364 -0.111974 121.154 -5.97994 0.133907 0 0 -582.712 -27.3753
6078000 1.2 0.695293 -0.732489 131.295 -5.47343 0.000604994 0 0 -530.982 -27.308
6079000 1.2 0.748286 -0.133875 121.028 -5.93978 0.00449333 0 0 -579.091 -26.7706
6080000 1.2 0.690652 0.106189 125.477 -5.7005 0.260167 0 0 -553.469 -28.242
6081000 1.2 0.718903 -0.512217 128.096 -5.64604 0.0270234 0 0 -552.542 -23.3807
6082000 1.2 0.672295 -0.216672 121.142 -5.94732 0.423498 0 0 -581.5 -25.5503
6083000 1.2 0.719246 -0.536978 129.103 -5.47057 4.1142 0 0 -536.455 -25.657
6084000 1.2 0.654094 0.774224 116.51 -6.049 1.90548 0 0 -592.143 -26.761
6085000 1.2 0.677238 -0.000312545 124.518 -5.65214 3.19841 0 0 -551.58 -28.1373
6086000 1.2 0.678887 0.581904 119.519 -5.86065 0.751402 0 0 -573.35 -25.1877
6087000 1.2 0.773406 -0.16273 126.285 -5.68041 0.158468 0 0 -553.768 -25.7923
6088000 1.2 0.585353 -0.0305221 122.3 -5.82155 0.013 0 0 -567.518 -26.2929
6089000 1.2 0.694634 -0.551156 125.677 -5.76419 0.00187051 0 0 -562.387 -25.5622
6090000 1.2 0.652097 0.285817 123.796 -5.70934 0.176662 0 0 -556.86 -25.6694
6091000 1.2 0.741872 0.268714 118.435 -6.02957 0.0191003 0 0 -588.348 -26.687
6092000 1.2 0.670056 0.905788 122.772 -5.68238 0.252812 0 0 -553.935 -25.9205
6093000 1.2 0.694229 1.80691 118.472 -5.80665 0.273763 0 0 -569.734 -22.8189
6094000 1.2 0.705264 0.678694 119.353 -5.93501 0.161619 0 0 -577.534 -27.9982
6095000 1.2 0.675095 0.0290128 124.407 -5.74137 0.100339 0 0 -559.427 -26.2929
6096000 1.2 0.662119 -0.798283 131.151 -5.50655 0.306527 0 0 -535.95 -26.0247
6097000 1.2 0.66215 0.318481 121.425 -5.88097 0.130224 0 0 -574.177 -25.8124
6098000 1.2 0.670881 -0.220643 125.946 -5.65883 0.0863836 0 0 -552.896 -24.3907
6099000 1.2 0.696335 0.351353 118.845 -6.00808 0.869831 0 0 -588.845 -24.8497
6100000 1.2 0.691585 -0.538511 130.483 -5.43735 1.8142 0 0 -530.78 -25.6444
6101000 1.2 0.599906 0.469119 120.337 -5.88717 0.732559 0 0 -571.547 -29.6765
6102000 1.2 0.737091 -0.44681 126.769 -5.67223 0.449029 0 0 -553.574 -25.4421
6103000 1.2 0.799793 0.280051 123.41 -5.80552 0.25015 0 0 -567.864 -24.5494
6104000 1.2 0.765614 -0.228511 123.163 -5.88554 0.0797439 0 0 -573.941 -26.464
6105000 1.2 0.728182 -0.611695 130.939 -5.54085 0.0283763 0 0 -537.34 -27.8557
6106000 1.2 0.659169 -0.13357 120.235 -5.99942 0.0296355 0 0 -584.626 -27.3445
6107000 1.2 0.724564 0.373471 125.698 -5.5887 0.052787 0 0 -545.493 -24.608
6108000 1.2 0.614187 0.316216 119.615 -5.92049 0.0769585 0 0 -577.517 -26.4505
