# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
27000000 1.9 0.583089 0.506186 122.91 -5.88182 0.0506551 0 0 -553.089 -46.9073
27001000 1.9 0.683073 0.0530866 122.136 -6.00498 0.00778113 0 0 -569.172 -43.3443
27002000 1.9 0.816484 0.567234 121.796 -5.97968 0.101177 0 0 -564.577 -45.452
27003000 1.9 0.783997 0.488015 121.586 -5.90223 2.57707 0 0 -558.331 -46.2734
27004000 1.9 0.687989 -0.261278 125.296 -5.84143 0.154982 0 0 -549.929 -46.0518
27005000 1.9 0.640601 0.190909 119.808 -6.19379 0.142074 0 0 -585.71 -46.1979
27006000 1.9 0.604455 -0.00050538 122.398 -5.99668 0.54271 0 0 -569.019 -43.1855
27007000 1.9 0.639408 -0.238578 125.179 -5.86887 0.71071 0 0 -558.676 -40.6601
27008000 1.9 0.703543 0.0354547 121.793 -6.01072 0.228449 0 0 -568.449 -44.8728
27009000 1.9 0.732348 0.439973 117.705 -6.1933 0.240244 0 0 -584.031 -47.9259
27010000 1.9 0.703337 0.0622097 127.01 -5.72875 0.13792 0 0 -541.853 -42.617
27011000 1.9 0.74753 0.050004 121.898 -6.07104 0.0930966 0 0 -575.29 -44.0487
27012000 1.9 0.701182 -0.0637133 124.287 -5.87975 2.05957 0 0 -559.563 -42.2309
27013000 1.9 0.702498 0.12904 121.141 -6.04589 0.0262943 0 0 -570.949 -45.7573
27014000 1.9 0.722779 0.248564 122.491 -5.94452 0.588806 0 0 -558.923 -48.0069
27015000 1.9 0.748964 0.412764 118.855 -6.19012 0.123377 0 0 -585.415 -46.1006
27016000 1.9 0.7685 -0.384568 126.501 -5.85037 0.00174161 0 0 -555.464 -41.276
27017000 1.9 0.594783 -0.0445954 122.666 -5.98119 0.00845922 0 0 -566.783 -43.3067
27018000 1.9 0.695663 0.499642 123.763 -5.77675 0.336593 0 0 -545.06 -44.5053
27019000 1.9 0.761966 -0.125718 124.988 -5.86787 1.31587e-06 0 0 -553.695 -44.8279
27020000 1.9 0.6354 0.419902 121.598 -5.99287 0.917488 0 0 -568.698 -43.4924
27021000 1.9 0.692939 0.0675543 124.933 -5.86132 0.112341 0 0 -549.734 -48.2324
27022000 1.9 0.688592 0.193355 123.216 -5.92608 0.180794 0 0 -561.232 -43.4095
27023000 1.9 0.63944 -0.0765611 122.568 -6.00649 0.00768972 0 0 -567.524 -45.1459
27024000 1.9 0.650916 -1.09543 129.069 -5.80582 0.885738 0 0 -551.596 -41.4837
27025000 1.9 0.644777 0.134893 127.768 -5.69173 0.00165995 0 0 -539.303 -41.2545
27026000 1.9 0.682427 0.211925 121.787 -6.05234 1.92594 0 0 -572.928 -46.3373
27027000 1.9 0.703531 -0.702948 128.093 -5.80749 0.640824 0 0 -547.505 -45.4999
27028000 1.9 0.657443 0.1647 122.732 -5.95927 0.0908037 0 0 -560.678 -47.2584
27029000 1.9 0.741789 0.300144 124.745 -5.84303 0.0125002 0 0 -550.255 -45.7461
27030000 1.9 0.788006 0.797023 120.523 -6.02001 0.591369 0 0 -563.099 -51.5339
27031000 1.9 0.788796 0.782495 122.726 -5.88561 0.00438456 0 0 -552.717 -47.6193
27032000 1.9 0.716292 0.0253085 121.244 -6.16219 0.0794721 0 0 -582.281 -46.3409
27033000 1.9 0.747863 -0.384178 126.754 -5.8109 0.0592755 0 0 -553.316 -39.4543
27034000 1.9 0.75057 0.934375 119.636 -6.06518 0.00833883 0 0 -569.937 -48.7197
27035000 1.9 0.762783 -0.246978 123.145 -6.03157 0.0618268 0 0 -566.644 -48.6373
27036000 1.9 0.747661 0.589677 117.258 -6.27023 0.000685388 0 0 -591.282 -48.2819
27037000 1.9 0.710861 -0.378477 121.793 -6.1327 0.0958405 0 0 -582.492 -43.1385
27038000 1.9 0.627622 -0.412538 125.694 -5.90044 0.116547 0 0 -555.789 -46.1728
27039000 1.9 0.691946 -0.811381 129.252 -5.69548 0.407423 0 0 -539.299 -42.0468
27040000 1.9 0.672932 -0.0374819 121.482 -6.07758 0.234701 0 0 -576.704 -43.4445
27041000 1.9 0.724484 -0.534475 127.181 -5.77947 1.13732 0 0 -545.146 -45.4972
27042000 1.9 0.758092 0.120614 122.082 -6.03543 0.311838 0 0 -569.455 -46.4703
27043000 1.9 0.774389 0.361528 126.036 -5.71771 0.228656 0 0 -538.252 -45.1823
27044000 1.9 0.697685 0.444521 123.568 -5.86054 0.167741 0 0 -553.334 -44.6082
27045000 1.9 0.608508 0.245884 117.862 -6.28023 0.155537 0 0 -594.02 -46.7194
27046000 1.9 0.664271 0.373231 123.911 -5.84582 0.544092 0 0 -552.413 -44.4043
27047000 1.9 0.724231 -0.111107 121.309 -6.11595 0.0365712 0 0 -577.298 -46.5647
27048000 1.9 0.721574 -0.897961 116.246 -6.57589 0.0159133 0 0 -623.947 -46.8099
27049000 1.9 0.721783 -0.203478 115.746 -6.48035 0.274473 0 0 -612.521 -48.7494
27050000 1.9 0.706434 0.233979 122.477 -5.9688 0.00758176 0 0 -563.156 -45.6693
27051000 1.9 0.693984 0.447913 119.208 -6.0418 1.75478 0 0 -574.395 -43.6234
27052000 1.9 0.76548 0.635272 121.349 -5.92893 0.00534054 0 0 -562.232 -42.524
27053000 1.9 0.739072 0.0666828 121.834 -5.991 0.667901 0 0 -566.265 -45.4849
